date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
12/22/14,112.94,109.7915,,0,0,0,0,0,100000,100000,0,0
12/23/14,112.54,110.0461,,0,0,0,0,0,100000,100000,0,0
12/24/14,112.01,110.3113,,0,0,0,0,0,100000,100000,0,0
12/26/14,113.99,110.6403,,0,0,0,0,0,100000,100000,0,0
12/29/14,113.91,110.9933,,0,0,0,0,0,100000,100000,0,0
12/30/14,112.52,111.2903,,0,0,0,0,0,100000,100000,0,0
12/31/14,110.38,111.5027,,0,0,0,0,0,100000,100000,0,0
1/2/15,109.33,111.6399,,0,0,0,0,0,100000,100000,0,0
1/5/15,106.25,111.7051,,0,0,0,0,0,100000,100000,0,0
1/6/15,106.26,111.7337,,0,0,0,0,0,100000,100000,0,0
1/7/15,107.75,111.7843,,0,0,0,0,0,100000,100000,0,0
1/8/15,111.89,111.9199,,0,0,0,0,0,100000,100000,0,0
1/9/15,112.01,112.0253,,0,0,0,0,0,100000,100000,0,0
1/12/15,109.25,112.0635,,0,0,0,0,0,100000,100000,0,0
1/13/15,110.22,112.1283,,0,0,0,0,0,100000,100000,0,0
1/14/15,109.8,112.1643,,0,0,0,0,0,100000,100000,0,0
1/15/15,106.82,112.1127,,0,0,0,0,0,100000,100000,0,0
1/16/15,105.99,112.0605,,0,0,0,0,0,100000,100000,0,0
1/20/15,108.72,112.0577,,0,0,0,0,0,100000,100000,0,0
1/21/15,109.55,112.0747,,0,0,0,0,0,100000,100000,0,0
1/22/15,112.4,112.1425,,0,0,0,0,0,100000,100000,0,0
1/23/15,112.98,112.2255,,0,0,0,0,0,100000,100000,0,0
1/26/15,113.1,112.2935,,0,0,0,0,0,100000,100000,0,0
1/27/15,109.14,112.2513,,0,0,0,0,0,100000,100000,0,0
1/28/15,115.31,112.3011,,0,0,0,0,0,100000,100000,0,0
1/29/15,118.9,112.3955,,0,0,0,0,0,100000,100000,0,0
1/30/15,117.16,112.4589,,0,0,0,0,0,100000,100000,0,0
2/2/15,118.63,112.5221,,0,0,0,0,0,100000,100000,0,0
2/3/15,118.65,112.6017,,0,0,0,0,0,100000,100000,0,0
2/4/15,119.56,112.6667,,0,0,0,0,0,100000,100000,0,0
2/5/15,119.94,112.7361,,0,0,0,0,0,100000,100000,0,0
2/6/15,118.93,112.7422,,0,0,0,0,0,100000,100000,0,0
2/9/15,119.72,112.7846,,0,0,0,0,0,100000,100000,0,0
2/10/15,122.02,112.845,,0,0,0,0,0,100000,100000,0,0
2/11/15,124.88,112.964,,0,0,0,0,0,100000,100000,0,0
2/12/15,126.46,113.1918,109.71095,1,1,500,500,63230,36770,100000,0,0
2/13/15,127.08,113.4408,109.97115,1,0,500,0,63540,36770,100310,0.0031,0.0031
2/17/15,127.83,113.6788,110.22305,1,0,500,0,63915,36770,100685,0.003738410926,0.00685
2/18/15,128.715,113.9433,110.4927,1,0,500,0,64357.5,36770,101127.5,0.004394894969,0.011275
2/19/15,128.45,114.2123,110.7985,1,0,500,0,64225,36770,100995,-0.001310227188,0.00995
2/20/15,129.495,114.5542,111.08595,1,0,500,0,64747.5,36770,101517.5,0.005173523442,0.015175
2/23/15,133,114.9318,111.41485,1,0,500,0,66500,36770,103270,0.01726303347,0.0327
2/24/15,132.17,115.3362,111.72905,1,0,500,0,66085,36770,102855,-0.00401859204,0.02855
2/25/15,128.79,115.6796,112.02515,1,0,500,0,64395,36770,101165,-0.01643089787,0.01165
2/26/15,130.415,116.0933,112.3303,1,0,500,0,65207.5,36770,101977.5,0.008031433796,0.019775
2/27/15,128.46,116.498,112.6187,1,0,500,0,64230,36770,101000,-0.00958544777,0.01
3/2/15,129.09,116.9449,112.9134,1,0,500,0,64545,36770,101315,0.003118811881,0.01315
3/3/15,129.36,117.3439,113.2195,1,0,500,0,64680,36770,101450,0.001332477915,0.0145
3/4/15,128.54,117.6617,113.4969,1,0,500,0,64270,36770,101040,-0.004041399704,0.0104
3/5/15,126.41,117.9543,113.7508,1,0,500,0,63205,36770,99975,-0.01054038005,-0.00025
3/6/15,126.6,118.2275,114.0095,1,0,500,0,63300,36770,100070,0.0009502375594,0.0007
3/9/15,127.14,118.5195,114.2828,1,0,500,0,63570,36770,100340,0.002698111322,0.0034
3/10/15,124.51,118.7695,114.5404,1,0,500,0,62255,36770,99025,-0.0131054415,-0.00975
3/11/15,122.24,118.9345,114.7874,1,0,500,0,61120,36770,97890,-0.01146175208,-0.0211
3/12/15,124.45,119.1453,115.0693,1,0,500,0,62225,36770,98995,0.01128818061,-0.01005
3/13/15,123.59,119.3667,115.3285,1,0,500,0,61795,36770,98565,-0.00434365372,-0.01435
3/16/15,124.95,119.6581,115.5804,1,0,500,0,62475,36770,99245,0.006899000659,-0.00755
3/17/15,127.04,120.0123,115.8261,1,0,500,0,63520,36770,100290,0.01052949771,0.0029
3/18/15,128.47,120.4567,116.0809,1,0,500,0,64235,36770,101005,0.007129324958,0.01005
3/19/15,127.495,120.8814,116.30755,1,0,500,0,63747.5,36770,100517.5,-0.004826493738,0.005175
3/20/15,125.9,121.2444,116.51435,1,0,500,0,62950,36770,99720,-0.007933941851,-0.0028
3/23/15,127.21,121.5508,116.73535,1,0,500,0,63605,36770,100375,0.006568391496,0.00375
3/24/15,126.69,121.8444,116.93485,1,0,500,0,63345,36770,100115,-0.002590286426,0.00115
3/25/15,123.38,122.127,117.09525,1,0,500,0,61690,36770,98460,-0.01653098936,-0.0154
3/26/15,124.24,122.4074,117.26785,1,0,500,0,62120,36770,98890,0.004367255738,-0.0111
3/27/15,123.25,122.6764,117.42035,1,0,500,0,61625,36770,98395,-0.005005561735,-0.01605
3/30/15,126.37,123.0674,117.59005,1,0,500,0,63185,36770,99955,0.01585446415,-0.00045
3/31/15,124.43,123.4362,117.74835,1,0,500,0,62215,36770,98985,-0.009704366965,-0.01015
4/1/15,124.25,123.7468,117.90225,1,0,500,0,62125,36770,98895,-0.000909228671,-0.01105
4/2/15,125.32,124.0622,118.06845,1,0,500,0,62660,36770,99430,0.005409778047,-0.0057
4/6/15,127.35,124.3612,118.25185,1,0,500,0,63675,36770,100445,0.01020818666,0.00445
4/7/15,126.01,124.6218,118.42365,1,0,500,0,63005,36770,99775,-0.006670317089,-0.00225
4/8/15,125.6,124.8718,118.58265,1,0,500,0,62800,36770,99570,-0.002054622902,-0.0043
4/9/15,126.56,125.2202,118.73575,1,0,500,0,63280,36770,100050,0.004820729135,0.0005
4/10/15,127.1,125.456,118.87855,1,0,500,0,63550,36770,100320,0.002698650675,0.0032
4/13/15,126.85,125.615,119.00525,1,0,500,0,63425,36770,100195,-0.001246012759,0.00195
4/14/15,126.3,125.7978,119.12835,1,0,500,0,63150,36770,99920,-0.002744647937,-0.0008
4/15/15,126.78,125.9608,119.24145,1,0,500,0,63390,36770,100160,0.002401921537,0.0016
4/16/15,126.17,126.1112,119.35645,1,0,500,0,63085,36770,99855,-0.003045127796,-0.00145
4/17/15,124.75,126.215,119.44085,1,0,500,0,62375,36770,99145,-0.007110309949,-0.00855
4/20/15,127.6,126.3682,119.55215,1,0,500,0,63800,36770,100570,0.01437288819,0.0057
4/21/15,126.91,126.5278,119.635,1,0,500,0,63455,36770,100225,-0.003430446455,0.00225
4/22/15,128.62,126.7058,119.7452,1,0,500,0,64310,36770,101080,0.008530805687,0.0108
4/23/15,129.67,126.8588,119.8519,1,0,500,0,64835,36770,101605,0.005193905817,0.01605
4/24/15,130.28,126.9668,119.9654,1,0,500,0,65140,36770,101910,0.003001820777,0.0191
4/27/15,132.65,127.0906,120.1412,1,0,500,0,66325,36770,103095,0.01162790698,0.03095
4/28/15,130.56,127.1602,120.3005,1,0,500,0,65280,36770,102050,-0.01013628207,0.0205
4/29/15,128.64,127.1764,120.4276,1,0,500,0,64320,36770,101090,-0.009407153356,0.0109
4/30/15,125.15,127.1051,120.5242,1,0,500,0,62575,36770,99345,-0.01726184588,-0.00655
5/1/15,128.95,127.1151,120.6637,1,0,500,0,64475,36770,101245,0.01912527052,0.01245
5/4/15,128.7,127.0992,120.8267,1,0,500,0,64350,36770,101120,-0.001234628871,0.0112
5/5/15,125.8,126.9552,120.9435,1,0,500,0,62900,36770,99670,-0.01433939873,-0.0033
5/6/15,125.01,126.812,121.0741,1,0,500,0,62505,36770,99275,-0.003963078158,-0.00725
5/7/15,125.26,126.7414,121.2105,1,0,500,0,62630,36770,99400,0.001259128683,-0.006
5/8/15,127.62,126.6855,121.3894,1,0,500,0,63810,36770,100580,0.01187122736,0.0058
5/11/15,126.32,126.6427,121.57035,1,0,500,0,63160,36770,99930,-0.006462517399,-0.0007
5/12/15,125.865,126.5782,121.76155,1,0,500,0,62932.5,36770,99702.5,-0.002276593616,-0.002975
5/13/15,126.01,126.5112,121.92755,1,0,500,0,63005,36770,99775,0.0007271633108,-0.00225
5/14/15,128.95,126.5194,122.09055,1,0,500,0,64475,36770,101245,0.01473314959,0.01245
5/15/15,128.77,126.5666,122.26045,1,0,500,0,64385,36770,101155,-0.0008889327868,0.01155
5/18/15,130.19,126.6384,122.43295,1,0,500,0,65095,36770,101865,0.007018931343,0.01865
5/19/15,130.07,126.697,122.60825,1,0,500,0,65035,36770,101805,-0.0005890148726,0.01805
5/20/15,130.06,126.808,122.78875,1,0,500,0,65030,36770,101800,-4.91E-05,0.018
5/21/15,131.39,126.991,122.96275,1,0,500,0,65695,36770,102465,0.006532416503,0.02465
5/22/15,132.54,127.1528,123.14905,1,0,500,0,66270,36770,103040,0.005611672278,0.0304
5/26/15,129.62,127.2734,123.32005,1,0,500,0,64810,36770,101580,-0.01416925466,0.0158
5/27/15,132.045,127.4153,123.5367,1,0,500,0,66022.5,36770,102792.5,0.0119364048,0.027925
5/28/15,131.78,127.5101,123.7612,1,0,500,0,65890,36770,102660,-0.001289004548,0.0266
5/29/15,130.28,127.5463,124.0015,1,0,500,0,65140,36770,101910,-0.007305669199,0.0191
6/1/15,130.535,127.6071,124.24425,1,0,500,0,65267.5,36770,102037.5,0.001251103915,0.020375
6/2/15,129.96,127.6883,124.46635,1,0,500,0,64980,36770,101750,-0.002817591572,0.0175
6/3/15,130.12,127.7465,124.64865,1,0,500,0,65060,36770,101830,0.0007862407862,0.0183
6/4/15,129.36,127.7999,124.82215,1,0,500,0,64680,36770,101450,-0.003731709712,0.0145
6/5/15,128.65,127.9053,125.01615,1,0,500,0,64325,36770,101095,-0.00349926072,0.01095
6/8/15,127.8,127.9765,125.19195,1,0,500,0,63900,36770,100670,-0.004203966566,0.0067
6/9/15,127.42,128.0599,125.36815,1,0,500,0,63710,36770,100480,-0.001887354723,0.0048
6/10/15,128.88,128.1101,125.58875,1,0,500,0,64440,36770,101210,0.007265127389,0.0121
6/11/15,128.59,128.1933,125.81475,1,0,500,0,64295,36770,101065,-0.001432664756,0.01065
6/12/15,127.17,128.2517,125.99925,1,0,500,0,63585,36770,100355,-0.007025181814,0.00355
6/15/15,126.92,128.2837,126.17295,1,0,500,0,63460,36770,100230,-0.001245578197,0.0023
6/16/15,127.6,128.2887,126.32495,1,0,500,0,63800,36770,100570,0.003392197945,0.0057
6/17/15,127.3,128.3145,126.46815,1,0,500,0,63650,36770,100420,-0.001491498459,0.0042
6/18/15,127.88,128.3601,126.61595,1,0,500,0,63940,36770,100710,0.002887870942,0.0071
6/19/15,126.6,128.3609,126.79055,1,0,500,0,63300,36770,100070,-0.00635488035,0.0007
6/22/15,127.61,128.3711,126.91355,1,0,500,0,63805,36770,100575,0.005046467473,0.00575
6/23/15,127.03,128.3747,126.99485,1,0,500,0,63515,36770,100285,-0.002883420333,0.00285
6/24/15,128.11,128.4109,127.10435,1,0,500,0,64055,36770,100825,0.005384653737,0.00825
6/25/15,127.5,128.4253,127.19305,1,0,500,0,63750,36770,100520,-0.003025043392,0.0052
6/26/15,126.75,128.4369,127.27405,1,0,500,0,63375,36770,100145,-0.003730600875,0.00145
6/29/15,124.53,128.4325,127.32375,1,0,500,0,62265,36770,99035,-0.0110839283,-0.00965
6/30/15,125.425,128.389,127.3786,1,0,500,0,62712.5,36770,99482.5,0.004518604534,-0.005175
7/1/15,126.6,128.3828,127.4553,1,0,500,0,63300,36770,100070,0.00590556128,0.0007
7/2/15,126.44,128.3392,127.5225,1,0,500,0,63220,36770,99990,-0.0007994403917,-1.00E-04
7/6/15,126,128.2658,127.5623,1,0,500,0,63000,36770,99770,-0.002200220022,-0.0023
7/7/15,125.69,128.174,127.5704,1,0,500,0,62845,36770,99615,-0.001553573218,-0.00385
7/8/15,122.57,127.9724,127.5315,1,0,500,0,61285,36770,98055,-0.01566029212,-0.01945
7/9/15,120.07,127.7626,127.4614,1,0,500,0,60035,36770,96805,-0.01274794758,-0.03195
7/10/15,123.28,127.6554,127.4159,1,0,500,0,61640,36770,98410,0.01657972212,-0.0159
7/13/15,125.66,127.6656,127.38535,1,0,500,0,62830,36770,99600,0.01209226705,-0.004
7/14/15,125.61,127.5988,127.35695,1,0,500,0,62805,36770,99575,-0.0002510040161,-0.00425
7/15/15,126.82,127.5612,127.3302,1,0,500,0,63410,36770,100180,0.006075822245,0.0018
7/16/15,128.51,127.6154,127.2853,1,0,500,0,64255,36770,101025,0.008434817329,0.01025
7/17/15,129.62,127.7076,127.2598,1,0,500,0,64810,36770,101580,0.005493689681,0.0158
7/20/15,132.07,127.8438,127.2926,1,0,500,0,66035,36770,102805,0.01205946052,0.02805
7/21/15,130.75,127.9064,127.29595,1,0,500,0,65375,36770,102145,-0.00641992121,0.02145
7/22/15,125.22,127.8844,127.26355,1,0,500,0,62610,36770,99380,-0.02706936218,-0.0062
7/23/15,125.16,127.8703,127.22425,1,0,500,0,62580,36770,99350,-0.0003018716039,-0.0065
7/24/15,124.5,127.8401,127.17565,1,0,500,0,62250,36770,99020,-0.003321590337,-0.0098
7/27/15,122.77,127.7165,127.11795,1,0,500,0,61385,36770,98155,-0.008735608968,-0.01845
7/28/15,123.38,127.6087,127.08765,1,0,500,0,61690,36770,98460,0.003107330243,-0.0154
7/29/15,122.99,127.4647,127.05155,1,0,500,0,61495,36770,98265,-0.001980499695,-0.01735
7/30/15,122.37,127.3107,127.00385,1,0,500,0,61185,36770,97955,-0.003154734646,-0.02045
7/31/15,121.3,127.1355,126.97175,1,0,500,0,60650,36770,97420,-0.005461691593,-0.0258
8/3/15,118.44,126.8765,126.93375,0,-1,0,-500,0,95990,95990,-0.01467871074,-0.0401
8/4/15,114.64,126.5185,126.83565,0,0,0,0,0,95990,95990,0,-0.0401
8/5/15,115.4,126.2341,126.75375,0,0,0,0,0,95990,95990,0,-0.0401
8/6/15,115.13,125.8958,126.65555,0,0,0,0,0,95990,95990,0,-0.0401
8/7/15,115.52,125.5706,126.54035,0,0,0,0,0,95990,95990,0,-0.0401
8/10/15,119.72,125.3594,126.45285,0,0,0,0,0,95990,95990,0,-0.0401
8/11/15,113.49,125.0185,126.3128,0,0,0,0,0,95990,95990,0,-0.0401
8/12/15,115.24,124.7241,126.2062,0,0,0,0,0,95990,95990,0,-0.0401
8/13/15,115.15,124.4247,126.0856,0,0,0,0,0,95990,95990,0,-0.0401
8/14/15,115.96,124.1567,125.9783,0,0,0,0,0,95990,95990,0,-0.0401
8/17/15,117.16,123.9269,125.9161,0,0,0,0,0,95990,95990,0,-0.0401
8/18/15,116.5,123.7009,125.8387,0,0,0,0,0,95990,95990,0,-0.0401
8/19/15,115.01,123.4527,125.7563,0,0,0,0,0,95990,95990,0,-0.0401
8/20/15,112.65,123.1281,125.6191,0,0,0,0,0,95990,95990,0,-0.0401
8/21/15,105.76,122.6715,125.4324,0,0,0,0,0,95990,95990,0,-0.0401
8/24/15,103.12,122.1905,125.2211,0,0,0,0,0,95990,95990,0,-0.0401
8/25/15,103.74,121.7269,125.0053,0,0,0,0,0,95990,95990,0,-0.0401
8/26/15,109.69,121.3687,124.8287,0,0,0,0,0,95990,95990,0,-0.0401
8/27/15,112.92,121.0811,124.6978,0,0,0,0,0,95990,95990,0,-0.0401
8/28/15,113.29,120.7893,124.5747,0,0,0,0,0,95990,95990,0,-0.0401
8/31/15,112.76,120.5125,124.4367,0,0,0,0,0,95990,95990,0,-0.0401
9/1/15,107.72,120.1147,124.2429,0,0,0,0,0,95990,95990,0,-0.0401
9/2/15,112.34,119.8209,124.0978,0,0,0,0,0,95990,95990,0,-0.0401
9/3/15,110.37,119.4661,123.9385,0,0,0,0,0,95990,95990,0,-0.0401
9/4/15,109.27,119.1015,123.7634,0,0,0,0,0,95990,95990,0,-0.0401
9/8/15,112.31,118.8127,123.6248,0,0,0,0,0,95990,95990,0,-0.0401
9/9/15,110.15,118.5251,123.4788,0,0,0,0,0,95990,95990,0,-0.0401
9/10/15,112.57,118.268,123.3285,0,0,0,0,0,95990,95990,0,-0.0401
9/11/15,114.21,118.0202,123.2015,0,0,0,0,0,95990,95990,0,-0.0401
9/14/15,115.31,117.7976,123.0684,0,0,0,0,0,95990,95990,0,-0.0401
9/15/15,116.28,117.6032,122.9345,0,0,0,0,0,95990,95990,0,-0.0401
9/16/15,116.41,117.4176,122.7958,0,0,0,0,0,95990,95990,0,-0.0401
9/17/15,113.92,117.2446,122.6085,0,0,0,0,0,95990,95990,0,-0.0401
9/18/15,113.45,117.1122,122.4374,0,0,0,0,0,95990,95990,0,-0.0401
9/21/15,115.21,116.9508,122.3031,0,0,0,0,0,95990,95990,0,-0.0401
9/22/15,113.4,116.7056,122.1856,0,0,0,0,0,95990,95990,0,-0.0401
9/23/15,114.32,116.4798,122.0393,0,0,0,0,0,95990,95990,0,-0.0401
9/24/15,115,116.2434,121.9023,0,0,0,0,0,95990,95990,0,-0.0401
9/25/15,114.71,115.9674,121.7914,0,0,0,0,0,95990,95990,0,-0.0401
9/28/15,112.44,115.6238,121.6657,0,0,0,0,0,95990,95990,0,-0.0401
9/29/15,109.06,115.1636,121.5037,0,0,0,0,0,95990,95990,0,-0.0401
9/30/15,110.3,114.7546,121.3305,0,0,0,0,0,95990,95990,0,-0.0401
10/1/15,109.58,114.4418,121.1631,0,0,0,0,0,95990,95990,0,-0.0401
10/2/15,110.38,114.1462,121.00825,0,0,0,0,0,95990,95990,0,-0.0401
10/5/15,110.78,113.8718,120.85595,0,0,0,0,0,95990,95990,0,-0.0401
10/6/15,111.31,113.6426,120.67955,0,0,0,0,0,95990,95990,0,-0.0401
10/7/15,110.78,113.3906,120.49965,0,0,0,0,0,95990,95990,0,-0.0401
10/8/15,109.5,113.1208,120.29275,0,0,0,0,0,95990,95990,0,-0.0401
10/9/15,112.12,112.9158,120.11325,0,0,0,0,0,95990,95990,0,-0.0401
10/12/15,111.6,112.7218,119.92865,0,0,0,0,0,95990,95990,0,-0.0401
10/13/15,111.79,112.5888,119.73265,0,0,0,0,0,95990,95990,0,-0.0401
10/14/15,110.21,112.5002,119.50935,0,0,0,0,0,95990,95990,0,-0.0401
10/15/15,111.86,112.4294,119.33175,0,0,0,0,0,95990,95990,0,-0.0401
10/16/15,111.04,112.3476,119.1217,0,0,0,0,0,95990,95990,0,-0.0401
10/19/15,111.73,112.2718,118.9212,0,0,0,0,0,95990,95990,0,-0.0401
10/20/15,113.77,112.1528,118.7561,0,0,0,0,0,95990,95990,0,-0.0401
10/21/15,113.76,112.1582,118.58835,0,0,0,0,0,95990,95990,0,-0.0401
10/22/15,115.5,112.1634,118.44375,0,0,0,0,0,95990,95990,0,-0.0401
10/23/15,119.08,112.242,118.33335,0,0,0,0,0,95990,95990,0,-0.0401
10/26/15,115.28,112.2284,118.19255,0,0,0,0,0,95990,95990,0,-0.0401
10/27/15,114.55,112.1762,118.05155,0,0,0,0,0,95990,95990,0,-0.0401
10/28/15,119.27,112.2316,117.96625,0,0,0,0,0,95990,95990,0,-0.0401
10/29/15,120.53,112.342,117.89735,0,0,0,0,0,95990,95990,0,-0.0401
10/30/15,119.5,112.479,117.80355,0,0,0,0,0,95990,95990,0,-0.0401
11/2/15,121.18,112.7874,117.72945,0,0,0,0,0,95990,95990,0,-0.0401
11/3/15,122.57,113.1764,117.68345,0,0,0,0,0,95990,95990,0,-0.0401
11/4/15,122,113.5416,117.63425,0,0,0,0,0,95990,95990,0,-0.0401
11/5/15,120.92,113.7662,117.56745,0,0,0,0,0,95990,95990,0,-0.0401
11/6/15,121.06,113.929,117.50505,0,0,0,0,0,95990,95990,0,-0.0401
11/9/15,120.57,114.0746,117.43195,0,0,0,0,0,95990,95990,0,-0.0401
11/10/15,116.77,114.1548,117.33365,0,0,0,0,0,95990,95990,0,-0.0401
11/11/15,116.11,114.3226,117.21865,0,0,0,0,0,95990,95990,0,-0.0401
11/12/15,115.72,114.3902,117.10555,0,0,0,0,0,95990,95990,0,-0.0401
11/13/15,112.34,114.4296,116.94785,0,0,0,0,0,95990,95990,0,-0.0401
11/16/15,114.175,114.5277,116.8146,0,0,0,0,0,95990,95990,0,-0.0401
11/17/15,113.69,114.5553,116.684,0,0,0,0,0,95990,95990,0,-0.0401
11/18/15,117.29,114.6981,116.6116,0,0,0,0,0,95990,95990,0,-0.0401
11/19/15,118.78,114.8223,116.54515,0,0,0,0,0,95990,95990,0,-0.0401
11/20/15,119.3,114.9241,116.47215,0,0,0,0,0,95990,95990,0,-0.0401
11/23/15,117.75,114.9729,116.38525,0,0,0,0,0,95990,95990,0,-0.0401
11/24/15,118.88,115.0249,116.31405,0,0,0,0,0,95990,95990,0,-0.0401
11/25/15,118.03,115.0573,116.23745,0,0,0,0,0,95990,95990,0,-0.0401
11/27/15,117.81,115.1351,116.18985,0,0,0,0,0,95990,95990,0,-0.0401
11/30/15,118.3,115.2321,116.17215,0,0,0,0,0,95990,95990,0,-0.0401
12/1/15,117.34,115.2747,116.11275,0,0,0,0,0,95990,95990,0,-0.0401
12/2/15,116.28,115.3323,116.01895,0,0,0,0,0,95990,95990,0,-0.0401
12/3/15,115.2,115.3499,115.91485,0,0,0,0,0,95990,95990,0,-0.0401
12/4/15,119.03,115.4305,115.83695,0,0,0,0,0,95990,95990,0,-0.0401
12/7/15,118.28,115.5019,115.73465,0,0,0,0,0,95990,95990,0,-0.0401
12/8/15,118.23,115.6177,115.62075,0,0,0,0,0,95990,95990,0,-0.0401
12/9/15,115.62,115.7489,115.45625,1,1,500,500,57810,38180,95990,0,-0.0401
12/10/15,116.17,115.8663,115.31045,1,0,500,0,58085,38180,96265,0.002864881759,-0.03735
12/11/15,113.18,115.9383,115.19005,1,0,500,0,56590,38180,94770,-0.01553004727,-0.0523
12/14/15,112.48,115.9803,115.06325,1,0,500,0,56240,38180,94420,-0.003693151841,-0.0558
12/15/15,110.49,115.9745,114.92315,1,0,500,0,55245,38180,93425,-0.01053802161,-0.06575
12/16/15,111.34,115.9751,114.80885,1,0,500,0,55670,38180,93850,0.004549103559,-0.0615
12/17/15,108.98,115.9391,114.66485,1,0,500,0,54490,38180,92670,-0.01257325519,-0.0733
12/18/15,106.03,115.8697,114.49525,1,0,500,0,53015,38180,91195,-0.01591669364,-0.08805
12/21/15,107.33,115.7739,114.34485,1,0,500,0,53665,38180,91845,0.007127583749,-0.08155
12/22/15,107.23,115.6865,114.20415,1,0,500,0,53615,38180,91795,-0.0005443954489,-0.08205
12/23/15,108.61,115.6229,114.10585,1,0,500,0,54305,38180,92485,0.007516749278,-0.07515
12/24/15,108.03,115.5793,114.03975,1,0,500,0,54015,38180,92195,-0.003135643618,-0.07805
