datetime,liquor_sales
2000-12-01,2361
2001-01-01,1480
2001-02-01,1385
2001-03-01,1505
2001-04-01,1576
2001-05-01,1649
2001-06-01,1684
2001-07-01,1748
2001-08-01,1642
2001-09-01,1571
2001-10-01,1567
2001-11-01,1637
2001-12-01,2397
2002-01-01,1483
2002-02-01,1390
2002-03-01,1562
2002-04-01,1573
2002-05-01,1718
2002-06-01,1752
2002-07-01,1809
2002-08-01,1759
2002-09-01,1698
2002-10-01,1643
2002-11-01,1718
2002-12-01,2399
2003-01-01,1551
2003-02-01,1497
2003-03-01,1697
2003-04-01,1672
2003-05-01,1805
2003-06-01,1903
2003-07-01,1928
2003-08-01,1963
2003-09-01,1807
2003-10-01,1843
2003-11-01,1950
2003-12-01,2736
2004-01-01,1798
2004-02-01,1700
2004-03-01,1901
2004-04-01,1820
2004-05-01,1982
2004-06-01,1957
2004-07-01,2076
2004-08-01,2107
2004-09-01,1799
2004-10-01,1854
2004-11-01,1968
2004-12-01,2364
2005-01-01,1662
2005-02-01,1681
2005-03-01,1725
2005-04-01,1796
2005-05-01,1938
2005-06-01,1871
2005-07-01,2001
2005-08-01,1934
2005-09-01,1825
2005-10-01,1930
2005-11-01,1867
2005-12-01,2553
2006-01-01,1624
2006-02-01,1533
2006-03-01,1676
2006-04-01,1706
2006-05-01,1781
2006-06-01,1772
2006-07-01,1922
2006-08-01,1743
2006-09-01,1669
2006-10-01,1713
2006-11-01,1733
2006-12-01,2369
2007-01-01,1491
2007-02-01,1445
2007-03-01,1643
2007-04-01,1683
2007-05-01,1751
2007-06-01,1774
2007-07-01,1893
2007-08-01,1776
2007-09-01,1743
2007-10-01,1728
2007-11-01,1769
2007-12-01,2431
