salesHistoryKey,propertyKey,streetAddress,salesTypeDsc,saleAmt,saleDate
88910,17581,900 N STAFFORD ST 2224,"4-Multiple RPCs, Not A Coded S",699900,2019-05-02
7007,1386,5187 37th RD N,J-Property in 2 Jurisdictions,1675000,2019-05-02
89783,53587,901 N STUART ST 4-166,"4-Multiple RPCs, Not A Coded S",699900,2019-05-02
270465,51732,989 S BUCHANAN ST 426,B-Not Previously Assessed,420000,2019-05-02
269388,57056,5701 11th ST N #1,"4-Multiple RPCs, Not A Coded S",2975000,2019-05-01
269392,51371,5701 11th ST N #3,"4-Multiple RPCs, Not A Coded S",2975000,2019-05-01
269396,51372,5701 11th ST N #5,"4-Multiple RPCs, Not A Coded S",2975000,2019-05-01
209797,68211,1331 S EADS ST,"4-Multiple RPCs, Not A Coded S",228000000,2019-05-01
269400,51374,5701 11th ST N #7,"4-Multiple RPCs, Not A Coded S",2975000,2019-05-01
209807,40606,1221 S EADS ST,"4-Multiple RPCs, Not A Coded S",228000000,2019-05-01
269390,51370,5701 11th ST N #2,"4-Multiple RPCs, Not A Coded S",2975000,2019-05-01
269394,57057,5701 11th ST N #4,"4-Multiple RPCs, Not A Coded S",2975000,2019-05-01
269398,51373,5701 11th ST N #6,"4-Multiple RPCs, Not A Coded S",2975000,2019-05-01
270383,51698,989 S BUCHANAN ST 305,B-Not Previously Assessed,270084,2019-04-30
120266,23604,1011 ARLINGTON BLVD 742,O-Assignment of Lease,300000,2019-04-30
270403,51707,989 S BUCHANAN ST 316,B-Not Previously Assessed,320900,2019-04-30
270409,51709,989 S BUCHANAN ST 319,B-Not Previously Assessed,390796,2019-04-30
270344,51682,989 S BUCHANAN ST 209,B-Not Previously Assessed,265351,2019-04-30
270368,51693,989 S BUCHANAN ST 223,B-Not Previously Assessed,274456,2019-04-30
270412,51710,989 S BUCHANAN ST 322,B-Not Previously Assessed,426796,2019-04-30
72560,14485,738 N ALBEMARLE ST,5-Not Market Sale,840000,2019-04-29
151868,29762,3428 7th ST S,5-Not Market Sale,524000,2019-04-29
46478,9243,4736 11th ST N,5-Not Market Sale,725000,2019-04-29
170192,33242,1077 S EDISON ST,5-Not Market Sale,420000,2019-04-26
270377,51696,989 S BUCHANAN ST 302,B-Not Previously Assessed,488782,2019-04-26
270381,57112,989 S BUCHANAN ST 304,B-Not Previously Assessed,268456,2019-04-26
270429,51716,989 S BUCHANAN ST 405,B-Not Previously Assessed,287084,2019-04-26
270457,57117,989 S BUCHANAN ST 421,B-Not Previously Assessed,400000,2019-04-26
270469,51736,989 S BUCHANAN ST 320,B-Not Previously Assessed,280084,2019-04-26
270331,51677,989 S BUCHANAN ST 202,B-Not Previously Assessed,478529,2019-04-26
270342,51681,989 S BUCHANAN ST 208,B-Not Previously Assessed,265084,2019-04-26
270335,64181,989 S BUCHANAN ST 204,B-Not Previously Assessed,260456,2019-04-26
270399,51705,989 S BUCHANAN ST 314,B-Not Previously Assessed,376528,2019-04-26
89736,17743,901 N STUART ST 4-153,"4-Multiple RPCs, Not A Coded S",615000,2019-04-25
90036,53594,900 N TAYLOR ST 504,5-Not Market Sale,105000,2019-04-25
270416,64187,989 S BUCHANAN ST 324,B-Not Previously Assessed,394900,2019-04-25
267175,50575,412 N GEORGE MASON DR,5-Not Market Sale,1056000,2019-04-25
89077,17614,900 N STAFFORD ST 2528,"4-Multiple RPCs, Not A Coded S",615000,2019-04-25
39108,7800,2028 N KENMORE ST,"4-Multiple RPCs, Not A Coded S",848000,2019-04-24
39136,7807,N KENMORE ST,"4-Multiple RPCs, Not A Coded S",848000,2019-04-24
270375,64184,989 S BUCHANAN ST 301,B-Not Previously Assessed,298871,2019-04-24
270463,51731,989 S BUCHANAN ST 425,B-Not Previously Assessed,530000,2019-04-24
89707,53584,901 N STUART ST 4-143,"4-Multiple RPCs, Not A Coded S",418551,2019-04-23
88444,17494,900 N STAFFORD ST 1511,"4-Multiple RPCs, Not A Coded S",418551,2019-04-23
270363,51690,989 S BUCHANAN ST 220,B-Not Previously Assessed,265990,2019-04-23
118098,53384,1111 ARLINGTON BLVD 215,O-Assignment of Lease,129500,2019-04-23
90281,53600,900 N TAYLOR ST 707,5-Not Market Sale,55000,2019-04-23
270445,51724,989 S BUCHANAN ST 414,B-Not Previously Assessed,379746,2019-04-23
1353,257,6915 29th ST N,7-Partial Interest,104482,2019-04-22
73081,14588,730 N FREDERICK ST,5-Not Market Sale,695000,2019-04-22
270371,51694,989 S BUCHANAN ST 225,B-Not Previously Assessed,500000,2019-04-22
270387,51700,989 S BUCHANAN ST 308,B-Not Previously Assessed,260000,2019-04-22
171764,33552,2124 S BUCHANAN ST,5-Not Market Sale,660000,2019-04-22
270418,51712,989 S BUCHANAN ST 325,B-Not Previously Assessed,529400,2019-04-22
168430,52803,903 S FREDERICK ST 7,"1-Foreclosure, Auction, Bankru",176000,2019-04-19
270447,64189,989 S BUCHANAN ST 415,B-Not Previously Assessed,374900,2019-04-19
270348,51683,989 S BUCHANAN ST 211,B-Not Previously Assessed,386160,2019-04-19
270357,57111,989 S BUCHANAN ST 216,B-Not Previously Assessed,322000,2019-04-19
270373,51695,989 S BUCHANAN ST 226,B-Not Previously Assessed,379496,2019-04-19
270393,51702,989 S BUCHANAN ST 311,B-Not Previously Assessed,374900,2019-04-19
264909,49998,1881 N NASH ST 2102,A-Correction Deed,2950000,2019-04-18
119656,23477,1011 ARLINGTON BLVD 414,O-Assignment of Lease,136000,2019-04-18
270379,51697,989 S BUCHANAN ST 303,B-Not Previously Assessed,497900,2019-04-18
270391,57114,989 S BUCHANAN ST 310,B-Not Previously Assessed,388871,2019-04-18
270431,51717,989 S BUCHANAN ST 406,B-Not Previously Assessed,370809,2019-04-17
270439,51721,989 S BUCHANAN ST 410,B-Not Previously Assessed,394858,2019-04-17
270459,51729,989 S BUCHANAN ST 422,B-Not Previously Assessed,400093,2019-04-17
270350,51684,989 S BUCHANAN ST 212,B-Not Previously Assessed,465426,2019-04-17
270433,51718,989 S BUCHANAN ST 407,B-Not Previously Assessed,378900,2019-04-16
69866,13976,5621 9th RD N,5-Not Market Sale,730000,2019-04-15
152664,29920,815 S RANDOLPH ST,"4-Multiple RPCs, Not A Coded S",820000,2019-04-15
152774,29940,S RANDOLPH ST,"4-Multiple RPCs, Not A Coded S",820000,2019-04-15
122069,23986,1021 ARLINGTON BLVD 942,O-Assignment of Lease,250900,2019-04-15
119601,23465,1011 ARLINGTON BLVD 304,O-Assignment of Lease,230000,2019-04-12
208708,40408,1200 CRYSTAL DR 1713,"4-Multiple RPCs, Not A Coded S",1100000,2019-04-12
208774,68180,1200 CRYSTAL DR 1714,"4-Multiple RPCs, Not A Coded S",1100000,2019-04-12
42945,8519,20th RD N,"4-Multiple RPCs, Not A Coded S",950000,2019-04-11
98906,19454,1122 N JACKSON ST,"4-Multiple RPCs, Not A Coded S",1384434,2019-04-11
98901,19453,1118 N JACKSON ST,"4-Multiple RPCs, Not A Coded S",934998,2019-04-11
98917,19457,N JACKSON ST,"4-Multiple RPCs, Not A Coded S",934998,2019-04-11
42932,8517,4415 20th RD N,"4-Multiple RPCs, Not A Coded S",950000,2019-04-11
98924,19458,1120 N JACKSON ST,"4-Multiple RPCs, Not A Coded S",1384434,2019-04-11
118580,23254,1111 ARLINGTON BLVD 514,O-Assignment of Lease,140000,2019-04-11
48408,62598,1842 N COLUMBUS ST,G-New Construction,1345000,2019-04-09
118701,65875,1111 ARLINGTON BLVD 601,O-Assignment of Lease,161600,2019-04-08
269809,51530,6717 19th ST N,G-New Construction,1725000,2019-04-08
122515,24072,1021 ARLINGTON BLVD 1214,O-Assignment of Lease,477000,2019-04-08
83113,16526,1029 N STUART ST 503,E-Estate Sale,480000,2019-04-06
270414,51711,989 S BUCHANAN ST 323,B-Not Previously Assessed,279456,2019-04-05
8875,56439,5127 33rd ST N,G-New Construction,1938500,2019-04-05
118392,23213,1111 ARLINGTON BLVD 407,O-Assignment of Lease,185000,2019-04-05
3942,765,2645 N SYCAMORE ST,7-Partial Interest,325000,2019-04-03
121758,65981,1021 ARLINGTON BLVD 803,O-Assignment of Lease,145000,2019-04-02
129248,25374,96 N BEDFORD ST B,E-Estate Sale,470000,2019-04-01
270176,51597,3507 MILITARY RD,"4-Multiple RPCs, Not A Coded S",1276000,2019-04-01
270178,51598,3196 N POLLARD ST,"4-Multiple RPCs, Not A Coded S",1276000,2019-04-01
63678,12688,6356 11th RD N,5-Not Market Sale,779950,2019-03-29
119124,23368,1111 ARLINGTON BLVD 822,O-Assignment of Lease,130000,2019-03-29
122208,24013,1021 ARLINGTON BLVD 1030,O-Assignment of Lease,250000,2019-03-29
56731,11285,1424 MCKINLEY RD,5-Not Market Sale,735000,2019-03-29
69377,13878,4810 9th ST N,E-Estate Sale,1200000,2019-03-29
41348,8220,N BRANDYWINE ST,"4-Multiple RPCs, Not A Coded S",840000,2019-03-28
41341,8219,N BRANDYWINE ST,"4-Multiple RPCs, Not A Coded S",840000,2019-03-28
41294,55307,2004 N BRANDYWINE ST,"4-Multiple RPCs, Not A Coded S",840000,2019-03-28
41355,8221,N BRANDYWINE ST,"4-Multiple RPCs, Not A Coded S",840000,2019-03-28
41362,8222,N BRANDYWINE ST,"4-Multiple RPCs, Not A Coded S",840000,2019-03-28
117282,22977,1121 ARLINGTON BLVD 609,O-Assignment of Lease,167000,2019-03-26
24838,4949,3521 MILITARY RD,E-Estate Sale,780000,2019-03-25
74819,14918,5718 4th ST N,G-New Construction,1200000,2019-03-25
141063,27698,8 S MANCHESTER ST,5-Not Market Sale,587000,2019-03-22
164422,32195,1921 S QUINCY ST,R-Relocation Sale/Holding Co.,525000,2019-03-22
87275,17283,3800 FAIRFAX DR 2-102,"4-Multiple RPCs, Not A Coded S",699999,2019-03-20
86197,17093,3800 FAIRFAX DR 1310,"4-Multiple RPCs, Not A Coded S",699999,2019-03-20
265685,63888,424 N THOMAS ST,5-Not Market Sale,830000,2019-03-20
269813,51532,1908 N ROOSEVELT ST,G-New Construction,1530542,2019-03-20
154294,61066,4430 1st RD S,5-Not Market Sale,755000,2019-03-19
244762,47013,2020 N CULPEPER ST,5-Not Market Sale,700000,2019-03-19
120352,23624,1011 ARLINGTON BLVD 819,O-Assignment of Lease,250000,2019-03-18
266677,50418,3703 N RANDOLPH ST,L-Land Sale,814000,2019-03-18
90218,17818,900 N TAYLOR ST 620,5-Not Market Sale,216500,2019-03-15
73507,14667,632 N HARRISON ST,5-Not Market Sale,780000,2019-03-15
159356,31208,S BARTON ST,L-Land Sale,25000,2019-03-15
117414,23005,1121 ARLINGTON BLVD 646,O-Assignment of Lease,139000,2019-03-14
15888,3150,5801 CHAIN BRIDGE FOREST CT,J-Property in 2 Jurisdictions,2350000,2019-03-14
159495,31234,3015 7th ST S,5-Not Market Sale,1000000,2019-03-14
205939,39892,10th RD S,"4-Multiple RPCs, Not A Coded S",920762,2019-03-14
205740,39854,1607 11th ST S,"4-Multiple RPCs, Not A Coded S",920762,2019-03-14
120889,57223,1021 ARLINGTON BLVD 227,O-Assignment of Lease,118000,2019-03-13
16343,3242,N TAZEWELL ST,J-Property in 2 Jurisdictions,130200,2019-03-08
121161,23797,1021 ARLINGTON BLVD 427,O-Assignment of Lease,121500,2019-03-08
63733,12696,N ROCHESTER ST,"4-Multiple RPCs, Not A Coded S",800000,2019-03-06
63720,54950,1123 N ROCHESTER ST,"4-Multiple RPCs, Not A Coded S",800000,2019-03-06
259929,49156,888 N QUINCY ST 301,"1-Foreclosure, Auction, Bankru",604000,2019-03-05
263696,49873,1881 N NASH ST 506,C-Condo Parking Space,19500,2019-03-05
86846,17215,3800 FAIRFAX DR 2-15,"4-Multiple RPCs, Not A Coded S",411000,2019-03-04
85893,17035,3800 FAIRFAX DR 0712,"4-Multiple RPCs, Not A Coded S",411000,2019-03-04
178961,34849,2923 G S WOODLEY ST 00001,"1-Foreclosure, Auction, Bankru",203000,2019-03-04
12070,2386,2506 N HARRISON ST,7-Partial Interest,679167,2019-03-01
117889,23105,1121 ARLINGTON BLVD 936,O-Assignment of Lease,125000,2019-03-01
75132,14992,5224 5th ST N,5-Not Market Sale,650000,2019-03-01
120252,23601,1011 ARLINGTON BLVD 738,O-Assignment of Lease,148000,2019-02-28
39073,7791,2002 N KENMORE ST,"4-Multiple RPCs, Not A Coded S",1400000,2019-02-28
120126,23573,1011 ARLINGTON BLVD 648,O-Assignment of Lease,138500,2019-02-28
39153,7811,N KENMORE ST,"4-Multiple RPCs, Not A Coded S",1400000,2019-02-28
122097,23990,1021 ARLINGTON BLVD 948,O-Assignment of Lease,148500,2019-02-27
91008,17915,900 N TAYLOR ST 1231,5-Not Market Sale,167500,2019-02-26
57971,11538,6040 23rd ST N,5-Not Market Sale,725000,2019-02-26
1037,197,6929 WILLIAMSBURG BLVD,L-Land Sale,607000,2019-02-26
91065,17920,900 N TAYLOR ST 1411,F-Multiple RPCs Not Market Sal,250000,2019-02-26
91125,17928,900 N TAYLOR ST 1427,F-Multiple RPCs Not Market Sal,250000,2019-02-26
91189,17935,900 N TAYLOR ST 1511,5-Not Market Sale,30000,2019-02-26
117901,23108,1121 ARLINGTON BLVD 939,O-Assignment of Lease,141000,2019-02-26
269829,57083,1836 N ROOSEVELT ST,G-New Construction,1514330,2019-02-26
164421,32195,1921 S QUINCY ST,R-Relocation Sale/Holding Co.,530000,2019-02-25
164744,52691,1921 S RANDOLPH ST,5-Not Market Sale,535000,2019-02-25
152289,29844,813 S QUINCY ST,G-New Construction,1178500,2019-02-22
90798,17890,900 N TAYLOR ST 1111,5-Not Market Sale,70000,2019-02-22
95986,18839,1723 N BARTON ST,G-New Construction,2153000,2019-02-22
270322,51674,1936 N EDISON ST,A-Correction Deed,1137658,2019-02-22
73187,14610,642 N FLORIDA ST,G-New Construction,1594400,2019-02-21
119236,23392,1111 ARLINGTON BLVD 905,O-Assignment of Lease,155000,2019-02-19
51184,10175,5143 15th ST N,G-New Construction,1565000,2019-02-15
78044,65695,4754 1st ST N,5-Not Market Sale,693500,2019-02-15
89376,53573,901 N STUART ST 4-057,"4-Multiple RPCs, Not A Coded S",490000,2019-02-15
88807,17560,900 N STAFFORD ST 2008,"4-Multiple RPCs, Not A Coded S",490000,2019-02-15
91031,17917,900 N TAYLOR ST 1406,F-Multiple RPCs Not Market Sal,194400,2019-02-15
171490,33496,2212 S DINWIDDIE ST,E-Estate Sale,435250,2019-02-14
90994,64978,900 N TAYLOR ST 1227,5-Not Market Sale,185000,2019-02-13
269453,51388,11th ST N,5-Not Market Sale,457000,2019-02-13
69790,13960,853 N JACKSONVILLE ST,5-Not Market Sale,1385000,2019-02-11
239930,46130,1001 N RANDOLPH ST 721,"1-Foreclosure, Auction, Bankru",319000,2019-02-06
141423,27770,5720 2nd ST S,5-Not Market Sale,532000,2019-02-05
20192,4025,3501 N VALLEY ST,"1-Foreclosure, Auction, Bankru",1148453,2019-02-04
90808,17891,900 N TAYLOR ST 1112,5-Not Market Sale,279000,2019-02-01
85978,17052,3800 FAIRFAX DR 0904,"4-Multiple RPCs, Not A Coded S",825000,2019-02-01
119830,23512,1011 ARLINGTON BLVD 512,O-Assignment of Lease,150000,2019-02-01
87077,53505,3800 FAIRFAX DR 2-59,"4-Multiple RPCs, Not A Coded S",825000,2019-02-01
87819,53526,3800 FAIRFAX DR 3-104,"4-Multiple RPCs, Not A Coded S",825000,2019-02-01
197521,38307,S KENMORE ST,"4-Multiple RPCs, Not A Coded S",1000000,2019-01-31
86043,17062,3800 FAIRFAX DR 1009,"4-Multiple RPCs, Not A Coded S",605000,2019-01-31
197531,38309,2221 S KENMORE ST,"4-Multiple RPCs, Not A Coded S",1000000,2019-01-31
90384,17840,900 N TAYLOR ST 805,5-Not Market Sale,76000,2019-01-31
197516,38306,2244 SHIRLINGTON RD,"4-Multiple RPCs, Not A Coded S",1000000,2019-01-31
87118,17259,3800 FAIRFAX DR 2-69,"4-Multiple RPCs, Not A Coded S",605000,2019-01-31
197526,38308,S KENMORE ST,"4-Multiple RPCs, Not A Coded S",1000000,2019-01-31
142706,28039,701 S FLORIDA ST,3-Family Sale,365000,2019-01-30
147855,66824,S CARLIN SPRINGS RD,J-Property in 2 Jurisdictions,525000,2019-01-30
15047,2983,5001 30th ST N,5-Not Market Sale,1650000,2019-01-29
46407,55479,4802 WASHINGTON BLVD,E-Estate Sale,855000,2019-01-29
119407,23425,1111 ARLINGTON BLVD 1002,O-Assignment of Lease,365000,2019-01-29
91282,17947,900 N TAYLOR ST 1606,5-Not Market Sale,120000,2019-01-29
120230,23597,1011 ARLINGTON BLVD 732,O-Assignment of Lease,140000,2019-01-29
171954,58312,2424 S CULPEPER ST,5-Not Market Sale,475000,2019-01-29
79230,15815,1240 N VERMONT ST,L-Land Sale,1515000,2019-01-28
120637,23686,1011 ARLINGTON BLVD 1007,O-Assignment of Lease,207000,2019-01-28
232463,45044,2028 N WESTMORELAND ST,S-Short Sale,903000,2019-01-28
15046,2983,5001 30th ST N,5-Not Market Sale,1295000,2019-01-25
34733,62148,N MONROE ST,5-Not Market Sale,700,2019-01-25
270298,64177,1245 N PIERCE ST #4,B-Not Previously Assessed,569000,2019-01-25
270302,51666,1245 N PIERCE ST #6,B-Not Previously Assessed,565000,2019-01-25
35544,55119,4343 LEE HWY 602,K-Financial Institution,248000,2019-01-25
270296,51664,1245 N PIERCE ST #3,B-Not Previously Assessed,559000,2019-01-25
143463,57963,5101 8th RD S 307,5-Not Market Sale,70000,2019-01-23
195865,67775,2025 S NELSON ST,7-Partial Interest,50000,2019-01-23
214416,41465,1028 16th ST S,5-Not Market Sale,630000,2019-01-22
121245,65964,1021 ARLINGTON BLVD 504,O-Assignment of Lease,152900,2019-01-22
269823,57082,6419 19TH ST N,G-New Construction,1578098,2019-01-21
21469,4267,32nd RD N,L-Land Sale,23300,2019-01-18
269784,51516,24th ST N,"4-Multiple RPCs, Not A Coded S",2600000,2019-01-18
269788,51518,2818 24th ST N,"4-Multiple RPCs, Not A Coded S",2600000,2019-01-18
120182,23587,1011 ARLINGTON BLVD 719,O-Assignment of Lease,230000,2019-01-18
269782,51515,24th ST N,"4-Multiple RPCs, Not A Coded S",2600000,2019-01-18
269825,51536,6408 19TH ST N,B-Not Previously Assessed,1326280,2019-01-16
1348,56190,28th ST N,"4-Multiple RPCs, Not A Coded S",694500,2019-01-15
1247,237,6909 28th ST N,"4-Multiple RPCs, Not A Coded S",694500,2019-01-15
22915,4568,3807 N RIDGEVIEW RD,5-Not Market Sale,822000,2019-01-15
1345,255,28th ST N,"4-Multiple RPCs, Not A Coded S",694500,2019-01-15
121641,23897,1021 ARLINGTON BLVD 719,O-Assignment of Lease,212000,2019-01-15
196050,38032,2141 S NELSON ST,7-Partial Interest,96000,2019-01-09
269811,51531,6713 19th ST N,G-New Construction,1628000,2019-01-08
86693,17183,3800 FAIRFAX DR 1-35,"4-Multiple RPCs, Not A Coded S",371000,2019-01-07
86100,17074,3800 FAIRFAX DR 1112,"4-Multiple RPCs, Not A Coded S",371000,2019-01-07
121653,23899,1021 ARLINGTON BLVD 722,O-Assignment of Lease,149500,2019-01-04
141340,57891,5608 1st ST S,5-Not Market Sale,729750,2019-01-04
90416,53603,900 N TAYLOR ST 810,5-Not Market Sale,30000,2018-12-31
99211,19508,1315 LYNNBROOK DR,5-Not Market Sale,792500,2018-12-28
145967,28631,5602 8th ST S,5-Not Market Sale,355000,2018-12-28
90973,17912,900 N TAYLOR ST 1225,5-Not Market Sale,87500,2018-12-28
121750,23920,1021 ARLINGTON BLVD 801,O-Assignment of Lease,139000,2018-12-28
117864,53375,1121 ARLINGTON BLVD 929,O-Assignment of Lease,159900,2018-12-27
269954,57088,1411 KEY BLVD 305,B-Not Previously Assessed,997500,2018-12-27
122224,65996,1021 ARLINGTON BLVD 1033,O-Assignment of Lease,153000,2018-12-27
127240,57427,801 N DANIEL ST,5-Not Market Sale,1650000,2018-12-27
26301,5244,4112 27th ST N,7-Partial Interest,600000,2018-12-27
269771,51510,5742 10th RD N,G-New Construction,866826,2018-12-27
269761,51508,5748 10th RD N,G-New Construction,969954,2018-12-27
269765,64149,5746 10th RD N,G-New Construction,939183,2018-12-27
269758,51507,5750 10th RD N,G-New Construction,1000390,2018-12-26
269774,57079,5740 10th RD N,G-New Construction,1000039,2018-12-26
269768,51509,5744 10th RD N,G-New Construction,866539,2018-12-26
125131,24559,2530 WILSON BLVD,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
125151,24562,N BARTON ST,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
125136,24560,2522 WILSON BLVD,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
125159,66088,WILSON BLVD,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
125164,24564,WILSON BLVD,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
125126,24558,N CLEVELAND ST,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
125172,66089,N BARTON ST,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
125146,66087,2500 WILSON BLVD,"4-Multiple RPCs, Not A Coded S",31900000,2018-12-24
