Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,Lagged_Return
2014-06-06,102.44,102.44,102.44,102.44,0.14,102.44,0.0,10884.0,-0.12691594259495176
2014-06-09,103.74,103.74,103.74,103.74,1.3,103.74,32.0,10884.0,0.1368523949169198
2014-06-10,103.69,103.69,103.69,103.69,0.05,103.69,100.0,10852.0,1.269035532994911
2014-06-11,103.74,103.74,103.74,103.74,0.05,103.74,0.0,10752.0,-0.048197416618467326
2014-06-12,105.07,105.07,105.07,105.07,1.33,105.07,119.0,10752.0,0.048220657729758365
2014-06-13,105.29,105.29,105.29,105.29,0.22,105.29,0.0,10633.0,1.2820512820512775
2014-06-16,105.32,105.32,105.32,105.32,0.03,105.32,261.0,10633.0,0.20938422004379564
2014-06-17,105.1,105.1,105.1,105.1,0.22,105.1,0.0,10627.0,0.028492734352725257
2014-06-18,104.96,104.96,104.96,104.96,0.14,104.96,0.0,10627.0,-0.2088872009115117
2014-06-19,105.14,105.14,105.14,105.14,0.18,105.14,0.0,10627.0,-0.13320647002854624
2014-06-20,105.4,105.4,105.4,105.4,0.26,105.4,0.0,10627.0,0.17149390243902385
2014-06-23,105.21,105.21,105.21,105.21,0.19,105.21,31.0,10627.0,0.24728932851436625
2014-06-24,105.18,105.18,105.18,105.18,0.03,105.18,0.0,10658.0,-0.18026565464897004
2014-06-25,105.27,105.27,105.27,105.27,0.09,105.27,37.0,10658.0,-0.028514399771872867
2014-06-26,105.17,105.17,105.17,105.17,0.1,105.17,100.0,10695.0,0.08556759840272488
2014-06-27,105.16,105.16,105.16,105.16,0.01,105.16,0.0,10695.0,-0.09499382540134604
2014-06-30,105.17,105.17,105.17,105.17,0.35,105.17,1316.0,10687.0,-0.009508414947234645
2014-07-01,105.15,105.15,105.15,105.15,0.02,105.15,332.0,11105.0,0.009509319132749994
2014-07-02,104.34,104.34,104.34,104.34,0.81,104.34,12.0,11032.0,-0.019016829894458187
2014-07-03,103.96,103.96,103.96,103.96,0.38,103.96,32.0,11044.0,-0.7703281027104159
2014-07-07,103.52,103.52,103.52,103.52,0.44,103.52,1128.0,11076.0,-0.36419398121526614
2014-07-08,103.38,103.38,103.38,103.38,0.14,103.38,113.0,10756.0,-0.42323970757983664
2014-07-09,102.54,102.54,102.54,102.54,0.84,102.54,100.0,10756.0,-0.1352395672333806
2014-07-10,103.01,103.01,103.01,103.01,0.47,103.01,0.0,10777.0,-0.8125362739407893
2014-07-11,101.58,101.58,101.58,101.58,1.43,101.58,0.0,10777.0,0.4583577140627959
2014-07-14,101.66,101.66,101.66,101.66,0.08,101.66,1142.0,10777.0,-1.3882147364333575
2014-07-15,101.1,101.1,101.1,101.1,0.56,101.1,150.0,11170.0,0.07875566056310124
2014-07-16,101.72,101.72,101.72,101.72,0.62,101.72,95.0,11110.0,-0.5508557938225467
2014-07-17,102.6,102.6,102.6,102.6,0.88,102.6,50.0,11173.0,0.6132542037586619
2014-07-18,102.51,102.51,102.51,102.51,0.09,102.51,9.0,11223.0,0.8651199370821816
2014-07-21,102.93,102.93,102.93,102.93,0.42,102.93,0.0,11223.0,-0.0877192982456032
2014-07-22,102.77,102.77,102.77,102.77,0.16,102.77,0.0,11223.0,0.4097161252560655
2014-07-23,103.0,103.0,103.0,103.0,0.23,103.0,0.0,11223.0,-0.15544544836297858
2014-07-24,102.72,102.72,102.72,102.72,0.28,102.72,0.0,11223.0,0.22380072005450113
2014-07-28,102.65,102.65,102.65,102.65,0.07,102.65,0.0,11223.0,0.0
2014-07-29,102.55,102.55,102.55,102.55,0.1,102.55,0.0,11223.0,-0.06814641744548044
2014-07-30,102.49,102.49,102.49,102.49,0.06,102.49,0.0,11223.0,-0.097418412079886
2014-07-31,97.89,97.89,97.89,97.89,1.97,97.89,579.0,9963.0,-0.05850804485616479
2014-08-01,97.57,97.57,97.57,97.57,0.32,97.57,151.0,10161.0,-4.48824275539077
2014-08-04,97.96,97.96,97.96,97.96,0.39,97.96,0.0,10072.0,-0.3268975380529282
2014-08-05,97.18,97.18,97.18,97.18,0.78,97.18,0.0,10072.0,0.3997130265450455
2014-08-06,96.83,96.83,96.83,96.83,0.35,96.83,13.0,10072.0,-0.7962433646386158
2014-08-07,97.18,97.18,97.18,97.18,0.35,97.18,959.0,10072.0,-0.3601564107841182
2014-08-08,97.36,97.36,97.36,97.36,0.18,97.36,0.0,9715.0,0.36145822575648356
2014-08-11,97.65,97.65,97.65,97.65,0.29,97.65,0.0,9715.0,0.1852232969746792
2014-08-12,97.17,97.17,97.17,97.17,0.48,97.17,0.0,9715.0,0.2978635990139811
2014-08-13,97.32,97.32,97.32,97.32,0.15,97.32,10.0,9715.0,-0.4915514592933934
2014-08-14,95.95,95.95,95.95,95.95,1.37,95.95,98.0,9725.0,0.15436863229389974
2014-08-15,96.7,96.7,96.7,96.7,0.75,96.7,0.0,9653.0,-1.4077270859021662
2014-08-18,96.04,96.04,96.04,96.04,0.66,96.04,15.0,9653.0,0.7816571130797367
2014-08-19,95.56,95.56,95.56,95.56,0.48,95.56,20.0,9638.0,-0.682523267838675
2014-08-20,95.84,95.84,95.84,95.84,0.28,95.84,0.0,9618.0,-0.49979175343607407
2014-08-21,96.01,96.01,96.01,96.01,0.17,96.01,0.0,9618.0,0.29300962745919534
2014-08-22,95.92,95.92,95.92,95.92,0.09,95.92,52.0,9618.0,0.1773789649415658
2014-08-25,95.85,95.85,95.85,95.85,0.07,95.85,125.0,9670.0,-0.09374023539214793
2014-08-26,95.94,95.94,95.94,95.94,0.09,95.94,0.0,9545.0,-0.07297748123437087
2014-08-27,95.95,95.95,95.95,95.95,0.01,95.95,0.0,9545.0,0.09389671361501595
2014-08-28,96.01,96.01,96.01,96.01,0.06,96.01,95.0,9545.0,0.010423181154894934
2014-08-29,95.69,95.69,95.69,95.69,1.35,95.69,191.0,10913.0,0.06253256904638071
2014-09-02,92.66,92.66,92.66,92.66,3.03,92.66,1544.0,10744.0,-0.33329861472763955
2014-09-03,95.17,95.17,95.17,95.17,2.51,95.17,226.0,10248.0,-3.166475075765496
2014-09-04,94.22,94.22,94.22,94.22,0.95,94.22,66.0,10348.0,2.7088279732354836
2014-09-05,93.27,93.27,93.27,93.27,0.95,93.27,131.0,10345.0,-0.9982137228118138
2014-09-08,92.75,92.75,92.75,92.75,0.52,92.75,91.0,10339.0,-1.008278497134374
2014-09-10,91.98,91.98,91.98,91.98,0.77,91.98,0.0,10492.0,0.0
2014-09-11,92.72,92.72,92.72,92.72,0.74,92.72,5.0,10492.0,-0.8301886792452806
2014-09-12,92.39,92.39,92.39,92.39,0.33,92.39,0.0,10497.0,0.8045227223309359
2014-09-15,92.75,92.75,92.75,92.75,0.36,92.75,6.0,10497.0,-0.3559102674719594
2014-09-16,93.74,93.74,93.74,93.74,0.99,93.74,15.0,10497.0,0.3896525598008349
2014-09-17,93.48,93.48,93.48,93.48,0.26,93.48,0.0,10497.0,1.0673854447439401
2014-09-18,92.94,92.94,92.94,92.94,0.54,92.94,16.0,10497.0,-0.27736291871132135
2014-09-19,92.78,92.78,92.78,92.78,0.16,92.78,7.0,10497.0,-0.5776636713735628
2014-09-22,92.51,92.51,92.51,92.51,0.27,92.51,18.0,10497.0,-0.17215407789971104
2014-09-23,92.71,92.71,92.71,92.71,0.2,92.71,0.0,10487.0,-0.2910109937486527
2014-09-24,93.01,93.01,93.01,93.01,0.3,93.01,0.0,10487.0,0.21619284401686034
2014-09-25,92.95,92.95,92.95,92.95,0.06,92.95,0.0,10487.0,0.3235896882752831
2014-09-26,93.1,93.1,93.1,93.1,0.15,93.1,0.0,10487.0,-0.06450919255994725
2014-09-29,93.2,93.2,93.2,93.2,0.1,93.2,62.0,10487.0,0.16137708445400634
2014-09-30,90.85,90.85,90.85,90.85,3.34,90.85,407.0,12702.0,0.10741138560688146
2014-10-01,90.39,90.39,90.39,90.39,0.46,90.39,296.0,12818.0,-2.521459227467815
2014-10-02,90.6,90.6,90.6,90.6,0.21,90.6,9.0,12748.0,-0.5063291139240422
2014-10-03,89.47,89.47,89.47,89.47,1.13,89.47,206.0,12757.0,0.23232658479919177
2014-10-06,90.01,90.01,90.01,90.01,0.54,90.01,0.0,12591.0,-1.2472406181015416
2014-10-07,88.83,88.83,88.83,88.83,1.18,88.83,5.0,12591.0,0.6035542639991176
2014-10-08,87.67,87.67,87.67,87.67,1.16,87.67,15.0,12596.0,-1.3109654482835298
2014-10-09,86.54,86.54,86.54,86.54,1.13,86.54,0.0,12581.0,-1.305865135652362
2014-10-10,86.57,86.57,86.57,86.57,0.03,86.57,1451.0,12581.0,-1.2889243754990232
2014-10-13,86.5,86.5,86.5,86.5,0.07,86.5,0.0,13294.0,0.03466605038131565
2014-10-14,84.17,84.17,84.17,84.17,2.33,84.17,101.0,13294.0,-0.08085942012243663
2014-10-15,84.07,84.07,84.07,84.07,0.1,84.07,101.0,13193.0,-2.6936416184971113
2014-10-16,84.58,84.58,84.58,84.58,0.51,84.58,10.0,13294.0,-0.11880717595343926
2014-10-17,84.62,84.62,84.62,84.62,0.04,84.62,142.0,13284.0,0.6066373260378288
2014-10-20,84.57,84.57,84.57,84.57,0.05,84.57,0.0,13298.0,0.047292504138107816
2014-10-21,84.77,84.77,84.77,84.77,0.2,84.77,0.0,13298.0,-0.059087686126224614
2014-10-22,84.09,84.09,84.09,84.09,0.68,84.09,79.0,13298.0,0.23649048125813366
2014-10-23,84.57,84.57,84.57,84.57,0.48,84.57,8.0,13219.0,-0.8021705792143341
2014-10-24,84.29,84.29,84.29,84.29,0.28,84.29,0.0,13227.0,0.5708169818051889
2014-10-27,84.28,84.28,84.28,84.28,0.01,84.28,0.0,13227.0,-0.3310866737613605
2014-10-28,84.36,84.36,84.36,84.36,0.08,84.36,41.0,13227.0,-0.011863803535416828
2014-10-29,84.46,84.46,84.46,84.46,0.1,84.46,83.0,13227.0,0.09492168960607561
2014-10-30,84.36,84.36,84.36,84.36,0.1,84.36,0.0,13206.0,0.11853959222378752
2014-10-31,80.51,80.51,80.51,80.51,0.55,80.51,757.0,13149.0,-0.11839924224483767
2014-11-03,78.8,78.8,78.8,78.8,1.71,78.8,151.0,12839.0,-4.563774300616396
2014-11-04,77.27,77.27,77.27,77.27,1.53,77.27,289.0,12950.0,-2.1239597565519963
2014-11-05,78.59,78.59,78.59,78.59,1.32,78.59,645.0,13124.0,-1.9416243654822307
2014-11-06,77.95,77.95,77.95,77.95,0.64,77.95,9.0,13124.0,1.7082955869030858
2014-11-07,78.53,78.53,78.53,78.53,0.58,78.53,205.0,13124.0,-0.814352971115917
2014-11-10,77.62,77.62,77.62,77.62,0.91,77.62,1311.0,13024.0,0.7440667094291253
2014-11-11,77.97,77.97,77.97,77.97,0.35,77.97,0.0,12725.0,-1.1587928180313178
2014-11-12,77.5,77.5,77.5,77.5,0.47,77.5,0.0,12725.0,0.45091471270291006
2014-11-13,75.78,75.78,75.78,75.78,1.72,75.78,0.0,12725.0,-0.6027959471591626
2014-11-14,76.64,76.64,76.64,76.64,0.86,76.64,0.0,12725.0,-2.219354838709675
2014-11-17,76.56,76.56,76.56,76.56,0.08,76.56,0.0,12725.0,1.1348640802322452
2014-11-18,76.13,76.13,76.13,76.13,0.43,76.13,0.0,12725.0,-0.10438413361169019
2014-11-19,76.09,76.09,76.09,76.09,0.04,76.09,65.0,12725.0,-0.5616509926854807
2014-11-20,76.5,76.5,76.5,76.5,0.41,76.5,75.0,12680.0,-0.05254170497831501
2014-11-21,76.67,76.67,76.67,76.67,0.17,76.67,50.0,12685.0,0.5388355894335506
2014-11-24,76.52,76.52,76.52,76.52,0.15,76.52,0.0,12706.0,0.22222222222223476
2014-11-25,76.25,76.25,76.25,76.25,0.27,76.25,15.0,12706.0,-0.195643667666634
2014-11-26,76.21,76.21,76.21,76.21,0.04,76.21,18.0,12706.0,-0.35284892838473025
2014-11-28,66.19,66.19,66.19,66.19,7.52,66.19,263.0,16945.0,-0.052459016393446856
2014-12-01,69.03,69.03,69.03,69.03,2.84,69.03,239.0,15524.0,-13.147880855530769
2014-12-02,67.01,67.01,67.01,67.01,2.02,67.01,20.0,15560.0,4.290678350203958
2014-12-03,67.46,67.46,67.46,67.46,0.45,67.46,153.0,15555.0,-2.926263943213092
2014-12-04,66.97,66.97,66.97,66.97,0.49,66.97,105.0,15505.0,0.6715415609610309
2014-12-05,66.18,66.18,66.18,66.18,0.79,66.18,42.0,15416.0,-0.7263563593240319
2014-12-08,64.04,64.04,64.04,64.04,2.14,64.04,0.0,15388.0,-1.1796326713453653
2014-12-09,64.6,64.6,64.6,64.6,0.56,64.6,28.0,15388.0,-3.233605318827437
2014-12-10,62.66,62.66,62.66,62.66,1.94,62.66,0.0,15388.0,0.8744534665833692
2014-12-11,62.03,62.03,62.03,62.03,0.63,62.03,30.0,15388.0,-3.003095975232195
2014-12-12,60.78,60.78,60.78,60.78,1.25,60.78,0.0,15373.0,-1.0054261091605454
2014-12-15,59.77,59.77,59.77,59.77,1.01,59.77,0.0,15373.0,-2.0151539577623723
2014-12-17,60.01,60.01,60.01,60.01,0.24,60.01,26.0,15373.0,0.0
2014-12-18,59.02,59.02,59.02,59.02,0.99,59.02,0.0,15353.0,0.4015392337292978
2014-12-19,60.02,60.02,60.02,60.02,1.0,60.02,40.0,15353.0,-1.6497250458256896
2014-12-22,59.42,59.42,59.42,59.42,0.6,59.42,0.0,15333.0,1.6943409013893573
2014-12-23,59.93,59.93,59.93,59.93,0.51,59.93,25.0,15333.0,-0.9996667777407597
2014-12-24,59.64,59.64,59.64,59.64,0.29,59.64,0.0,15318.0,0.8582968697408155
2014-12-26,59.43,59.43,59.43,59.43,0.21,59.43,0.0,15318.0,-0.48389788086100616
2014-12-29,53.78,53.78,53.78,53.78,1.11,53.78,75.0,7425.0,-0.35211267605633756
2015-01-02,52.86,52.86,52.86,52.86,0.58,52.86,113.0,7478.0,-9.506983005216219
2015-01-05,50.36,50.36,50.36,50.36,2.5,50.36,85.0,7478.0,-1.7106731126812935
2015-01-06,48.49,48.49,48.49,48.49,1.87,48.49,13.0,7478.0,-4.7294740824820325
2015-01-07,49.06,49.06,49.06,49.06,0.57,49.06,14.0,7478.0,-3.713264495631452
2015-01-08,49.19,49.19,49.19,49.19,0.13,49.19,329.0,7478.0,1.1755001031140466
2015-01-09,48.93,48.93,48.93,48.93,0.26,48.93,0.0,7328.0,0.2649816551161699
2015-01-12,47.35,47.35,47.35,47.35,1.58,47.35,100.0,7328.0,-0.5285627159991813
2015-01-13,47.2,47.2,47.2,47.2,0.15,47.2,14.0,7428.0,-3.2291027999182487
2015-01-14,48.7,48.7,48.7,48.7,1.5,48.7,72.0,7428.0,-0.31678986272438703
2015-01-15,47.47,47.47,47.47,47.47,1.23,47.47,0.0,7418.0,3.177966101694918
2015-01-16,48.68,48.68,48.68,48.68,1.21,48.68,70.0,7418.0,-2.525667351129368
2015-01-20,47.5,47.5,47.5,47.5,1.18,47.5,39.0,7383.0,2.548978302085536
2015-01-21,48.02,48.02,48.02,48.02,0.52,48.02,91.0,7393.0,-2.423993426458504
2015-01-22,47.51,47.51,47.51,47.51,0.51,47.51,0.0,7371.0,1.0947368421052595
2015-01-23,47.29,47.29,47.29,47.29,0.22,47.29,44.0,7371.0,-1.0620574760516588
2015-01-26,47.18,47.18,47.18,47.18,0.11,47.18,16.0,7371.0,-0.4630604083350809
2015-01-27,47.4,47.4,47.4,47.4,0.22,47.4,15.0,7371.0,-0.2326073165574094
2015-01-29,47.14,47.14,47.14,47.14,0.01,47.14,0.0,7371.0,0.4662992793556642
2015-01-30,48.44,48.44,48.44,48.44,3.71,48.44,264.0,11019.0,-0.5485232067510504
2015-02-02,49.8,49.8,49.8,49.8,1.36,49.8,1640.0,11209.0,2.7577428935086967
2015-02-03,53.08,53.08,53.08,53.08,3.28,53.08,25.0,11671.0,2.807597027250197
2015-02-04,48.97,48.97,48.97,48.97,4.11,48.97,4740.0,11671.0,6.586345381526115
2015-02-05,50.68,50.68,50.68,50.68,1.71,50.68,100.0,12499.0,-7.743029389600597
2015-02-06,51.63,51.63,51.63,51.63,0.95,51.63,115.0,12499.0,3.491933837043093
2015-02-09,52.49,52.49,52.49,52.49,0.86,52.49,20.0,12484.0,1.8745067087608591
2015-02-10,50.57,50.57,50.57,50.57,1.92,50.57,0.0,12464.0,1.6656982374588347
2015-02-11,49.84,49.84,49.84,49.84,0.73,49.84,5.0,12464.0,-3.6578395884930504
2015-02-12,51.21,51.21,51.21,51.21,1.37,51.21,50.0,12464.0,-1.4435436029266335
2015-02-13,52.02,52.02,52.02,52.02,0.81,52.02,16.0,12439.0,2.7487961476725387
2015-02-17,52.34,52.34,52.34,52.34,0.32,52.34,0.0,12439.0,1.5817223198594021
2015-02-18,51.74,51.74,51.74,51.74,0.6,51.74,169.0,12439.0,0.6151480199923176
2015-02-19,51.37,51.37,51.37,51.37,0.37,51.37,47.0,12594.0,-1.1463507833397002
2015-02-20,51.06,51.06,51.06,51.06,0.31,51.06,0.0,12564.0,-0.7151140316969506
2015-02-23,50.7,50.7,50.7,50.7,0.36,50.7,0.0,12564.0,-0.6034650574264999
2015-02-24,50.67,50.67,50.67,50.67,0.03,50.67,0.0,12564.0,-0.7050528789659172
2015-02-25,50.94,50.94,50.94,50.94,0.27,50.94,125.0,12564.0,-0.059171597633134176
2015-02-26,50.64,50.64,50.64,50.64,0.3,50.64,0.0,12564.0,0.5328596802841812
2015-02-27,50.52,50.52,50.52,50.52,1.64,50.52,616.0,10193.0,-0.5889281507655997
2015-03-02,50.2,50.2,50.2,50.2,0.32,50.2,723.0,10197.0,-0.23696682464454666
2015-03-03,51.11,51.11,51.11,51.11,0.91,51.11,198.0,10561.0,-0.6334125098970689
2015-03-04,51.94,51.94,51.94,51.94,0.83,51.94,547.0,10594.0,1.8127490039840488
2015-03-05,51.3,51.3,51.3,51.3,0.64,51.3,6.0,10169.0,1.6239483467031857
2015-03-06,50.38,50.38,50.38,50.38,0.92,50.38,72.0,10169.0,-1.2321909896033878
2015-03-09,50.62,50.62,50.62,50.62,0.24,50.62,0.0,10232.0,-1.7933723196881024
2015-03-10,49.41,49.41,49.41,49.41,1.21,49.41,9.0,10232.0,0.4763795156808248
2015-03-11,49.35,49.35,49.35,49.35,0.06,49.35,63.0,10232.0,-2.390359541683129
2015-03-12,48.72,48.72,48.72,48.72,0.63,48.72,0.0,10295.0,-0.12143290831814202
2015-03-13,47.45,47.45,47.45,47.45,1.27,47.45,300.0,10295.0,-1.276595744680853
2015-03-16,46.94,46.94,46.94,46.94,0.51,46.94,0.0,10280.0,-2.606732348111651
2015-03-17,46.56,46.56,46.56,46.56,0.38,46.56,0.0,10280.0,-1.074815595363554
2015-03-18,47.19,47.19,47.19,47.19,0.63,47.19,266.0,10280.0,-0.8095440988495906
2015-03-19,46.77,46.77,46.77,46.77,0.42,46.77,10.0,10240.0,1.3530927835051498
2015-03-20,47.18,47.18,47.18,47.18,0.41,47.18,50.0,10230.0,-0.8900190718372447
2015-03-23,47.46,47.46,47.46,47.46,0.28,47.46,40.0,10205.0,0.8766303185802737
2015-03-24,47.48,47.48,47.48,47.48,0.02,47.48,400.0,10185.0,0.5934718100890191
2015-03-25,47.87,47.87,47.87,47.87,0.39,47.87,30.0,10136.0,0.04214075010533502
2015-03-26,48.27,48.27,48.27,48.27,0.4,48.27,242.0,10136.0,0.8213984835720334
2015-03-27,47.92,47.92,47.92,47.92,0.35,47.92,0.0,10378.0,0.8355964069354682
2015-03-30,47.9,47.9,47.9,47.9,0.02,47.9,0.0,10378.0,-0.725088046405642
2015-03-31,47.85,47.85,47.85,47.85,0.05,47.85,0.0,10378.0,-0.04173622704508606
2015-04-01,50.64,50.64,50.64,50.64,2.46,50.64,389.0,9515.0,-0.10438413361169019
2015-04-02,49.67,49.67,49.67,49.67,0.97,49.67,0.0,9596.0,5.830721003134798
2015-04-06,52.38,52.38,52.38,52.38,2.71,52.38,9.0,9596.0,-1.915481832543442
2015-04-07,53.89,53.89,53.89,53.89,1.51,53.89,120.0,9605.0,5.456009663780947
2015-04-08,51.08,51.08,51.08,51.08,2.81,51.08,131.0,9605.0,2.882779686903403
2015-04-09,51.44,51.44,51.44,51.44,0.36,51.44,179.0,9636.0,-5.214325477825199
2015-04-10,52.11,52.11,52.11,52.11,0.67,52.11,8.0,9735.0,0.7047768206734473
