date,VIX,Gold,T-Bonds,Junk Bonds,Oil
2014-12-26,58250.0,114.83,27.82,116.85,23.27
2014-12-29,57500.0,113.67,27.61,116.43,22.65
2014-12-30,60250.0,115.2,27.78,116.34,22.47
2014-12-31,69000.0,113.58,27.67,115.83,22.7
2015-01-02,66500.0,114.08,27.55,116.04,22.02
2015-01-05,76250.0,115.8,27.49,115.23,20.7
2015-01-06,80250.0,117.12,27.57,114.69,19.92
2015-01-07,74750.0,116.43,27.5,115.32,19.97
2015-01-08,66000.0,115.94,27.46,116.1,20.01
2015-01-09,70250.0,117.26,27.56,116.73,19.66
2015-01-12,76750.0,118.56,27.64,116.61,18.68
2015-01-13,81500.0,118.16,27.6,116.49,18.52
2015-01-14,84500.0,117.97,27.74,116.22,19.07
2015-01-15,89500.0,120.94,27.73,115.56,18.46
2015-01-16,85750.0,122.52,27.64,115.89,19.17
2015-01-20,84250.0,124.2,27.46,115.89,18.49
2015-01-21,76750.0,124.23,27.51,116.34,18.75
2015-01-22,67500.0,125.23,27.21,116.49,18.73
2015-01-23,70500.0,124.23,27.19,116.52,18.69
2015-01-26,64750.0,122.99,27.17,117.21,18.46
2015-01-27,69250.0,124.4,27.3,117.06,18.88
2015-01-28,80000.0,123.42,27.22,116.61,18.56
2015-01-29,74750.0,120.76,27.11,117.06,18.84
2015-01-30,88500.0,123.45,27.23,116.82,20.03
2015-02-02,79750.0,122.42,27.31,116.52,21.01
2015-02-03,72750.0,121.05,27.45,117.09,22.07
2015-02-04,76250.0,121.58,27.32,116.76,21.01
2015-02-05,71500.0,121.79,27.47,117.45,21.72
2015-02-06,76500.0,118.64,27.1,117.69,22.17
2015-02-09,77500.0,119.17,27.06,117.57,22.28
2015-02-10,72000.0,118.47,26.98,117.9,21.84
2015-02-11,72750.0,117.07,26.82,117.93,21.21
2015-02-12,65500.0,117.34,27.12,117.99,22.27
2015-02-13,64250.0,117.98,27.08,118.29,23.05
2015-02-17,64500.0,116.01,27.02,118.23,23.39
2015-02-18,63250.0,116.34,27.07,118.53,22.59
2015-02-19,60500.0,115.94,26.96,118.41,22.64
2015-02-20,57000.0,115.28,26.97,118.65,22.6
2015-02-23,57500.0,115.43,26.98,118.77,22.16
2015-02-24,53250.0,115.26,27.05,118.98,22.06
2015-02-25,54250.0,115.7,27.16,119.04,23.18
2015-02-26,52000.0,116.07,26.91,119.19,22.8
2015-02-27,52000.0,116.16,26.94,119.34,23.34
2015-03-02,49750.0,115.68,26.8,118.74,22.53
2015-03-03,50750.0,115.47,26.79,118.38,22.94
2015-03-04,50250.0,115.11,26.65,118.2,22.69
2015-03-05,49500.0,115.0,26.59,118.32,22.74
2015-03-06,52500.0,111.86,26.22,117.66,22.4
2015-03-09,50750.0,111.97,26.26,117.57,22.01
2015-03-10,53500.0,111.42,26.05,117.3,21.23
2015-03-11,55500.0,110.75,25.93,117.48,21.64
2015-03-12,50250.0,110.72,26.09,117.75,21.33
2015-03-13,51750.0,110.88,25.81,117.21,20.39
2015-03-16,50250.0,110.81,25.98,117.0,20.11
2015-03-17,49250.0,110.21,25.99,116.43,19.88
2015-03-18,45750.0,112.37,26.54,117.45,21.07
2015-03-19,44750.0,112.29,26.25,116.55,20.16
2015-03-20,43250.0,113.57,26.57,117.39,20.47
2015-03-23,42250.0,114.29,26.9,117.57,20.77
2015-03-24,41250.0,114.57,26.84,117.66,20.51
2015-03-25,44750.0,114.73,26.87,117.42,20.89
2015-03-26,44000.0,115.48,26.77,117.45,21.95
2015-03-27,43000.0,115.06,26.79,117.42,20.87
2015-03-30,40500.0,113.75,26.58,117.69,20.93
2015-03-31,42500.0,113.66,26.56,117.66,20.5
2015-04-01,42500.0,115.6,26.64,117.39,21.12
2015-04-02,40750.0,115.28,26.78,117.45,20.54
2015-04-06,39250.0,116.69,26.85,117.72,21.46
2015-04-07,38750.0,116.11,26.66,118.08,21.89
2015-04-08,37500.0,115.47,26.67,118.14,20.87
2015-04-09,35000.0,114.67,26.4,118.08,21.08
2015-04-10,31875.0,115.97,26.35,118.2,21.5
2015-04-13,33500.0,115.14,26.3,118.26,21.54
2015-04-14,32750.0,114.44,26.5,118.41,21.8
2015-04-15,31250.0,115.43,26.62,118.71,22.87
2015-04-16,30000.0,115.03,26.79,118.59,23.26
2015-04-17,31875.0,115.6,26.86,118.23,23.22
2015-04-20,29750.0,114.72,26.68,118.59,23.11
2015-04-21,29750.0,115.38,26.62,118.65,22.6
2015-04-22,29500.0,113.83,26.59,118.62,22.89
2015-04-23,29000.0,114.66,26.72,118.59,23.6
2015-04-24,28250.0,113.05,26.84,118.74,23.77
2015-04-27,30000.0,115.33,26.91,118.83,23.54
2015-04-28,28000.0,116.33,27.02,118.74,23.52
2015-04-29,29500.0,115.51,27.09,118.47,23.86
2015-04-30,30500.0,113.47,27.08,118.32,24.3
2015-05-01,28250.0,113.08,26.91,118.02,24.28
2015-05-04,28250.0,114.1,26.78,118.11,24.22
2015-05-05,29500.0,114.42,26.72,118.02,24.57
2015-05-06,30750.0,114.36,26.82,117.66,24.58
2015-05-07,30000.0,113.42,26.76,117.57,23.78
2015-05-08,27250.0,113.97,26.81,118.32,23.84
2015-05-11,28500.0,113.53,26.63,117.81,23.6
2015-05-12,28250.0,114.5,26.67,117.78,24.1
2015-05-13,27500.0,116.55,26.81,117.6,24.1
2015-05-14,26250.0,117.18,26.96,118.23,24.03
2015-05-15,26000.0,117.53,27.14,118.35,24.07
2015-05-18,24235.0,117.52,26.85,118.11,23.89
2015-05-19,23275.0,115.89,26.61,117.87,23.12
2015-05-20,23250.0,116.08,26.54,117.87,23.31
2015-05-21,22000.0,115.69,26.57,117.99,23.94
2015-05-22,21965.0,115.6,26.37,118.14,23.59
2015-05-26,23450.0,113.91,26.1,117.96,22.98
2015-05-27,21750.0,113.89,26.11,118.26,22.42
2015-05-28,22250.0,114.02,26.12,118.14,22.58
2015-05-29,22275.0,114.1,26.21,118.26,23.55
2015-06-01,22000.0,114.0,25.97,117.66,23.4
2015-06-02,22550.0,114.46,26.15,117.54,23.6
2015-06-03,22000.0,113.64,26.11,116.94,22.98
2015-06-04,23482.5,112.84,26.09,116.67,22.43
2015-06-05,22650.0,112.24,25.76,116.4,22.74
2015-06-08,23250.0,112.57,25.96,116.28,22.58
2015-06-09,22847.5,112.82,25.95,116.1,23.2
2015-06-10,21037.5,113.78,26.12,116.1,23.57
2015-06-11,20242.5,113.26,26.15,116.37,23.36
2015-06-12,20660.0,113.23,26.09,116.07,22.96
2015-06-15,22222.5,113.73,26.1,115.47,22.77
2015-06-16,21417.5,113.32,26.08,115.95,22.72
2015-06-17,21250.0,113.85,26.26,115.89,22.68
2015-06-18,20000.0,115.32,26.32,116.19,22.79
2015-06-19,20375.0,115.12,26.34,116.1,22.38
2015-06-22,18752.5,113.64,26.28,116.55,22.52
2015-06-23,17500.0,112.89,26.04,116.52,22.96
2015-06-24,18100.0,112.59,26.03,116.31,22.6
2015-06-25,18425.0,112.44,26.06,116.13,22.48
2015-06-26,18200.0,112.56,25.92,115.74,22.48
2015-06-29,24350.0,113.07,26.12,114.9,22.05
2015-06-30,24000.0,112.37,26.01,115.29,22.57
2015-07-01,20725.0,111.98,25.84,114.9,22.11
2015-07-02,23250.0,111.76,25.85,115.11,22.02
2015-07-06,24450.0,112.06,25.86,114.81,20.23
2015-07-07,21975.0,110.76,25.85,114.69,20.42
2015-07-08,26275.0,111.09,26.04,113.97,20.38
2015-07-09,26775.0,111.36,25.93,114.27,20.78
2015-07-10,22525.0,111.49,25.92,114.78,20.81
2015-07-13,18150.0,110.99,25.79,114.9,20.55
2015-07-14,17825.0,110.74,25.82,114.87,20.65
2015-07-15,17700.0,110.16,25.81,114.9,20.2
2015-07-16,15450.0,109.76,25.7,115.02,20.14
2015-07-17,15125.0,108.65,25.71,114.6,20.14
2015-07-20,15000.0,105.7,25.64,114.36,19.93
2015-07-21,14725.0,105.37,25.8,114.0,20.12
2015-07-22,14575.0,104.8,25.75,113.4,19.76
2015-07-23,14925.0,104.33,25.87,113.46,19.49
2015-07-24,15900.0,105.35,25.86,113.04,19.3
2015-07-27,17575.0,104.86,26.0,112.56,18.69
2015-07-28,15025.0,105.02,25.98,112.95,18.73
2015-07-29,14550.0,105.17,25.87,113.64,18.9
2015-07-30,14300.0,104.27,25.81,113.97,18.82
2015-07-31,14250.0,104.93,25.96,113.91,18.28
2015-08-03,13850.0,104.1,25.91,113.01,17.53
2015-08-04,13850.0,104.31,25.77,113.04,17.7
2015-08-05,13700.0,103.93,25.63,112.98,17.56
2015-08-06,14725.0,104.39,25.69,112.53,17.49
2015-08-07,14375.0,104.65,25.79,112.08,17.15
2015-08-10,13325.0,105.72,25.85,112.26,17.71
2015-08-11,14475.0,106.26,25.87,111.78,17.4
2015-08-12,14525.0,107.75,26.13,111.54,17.53
2015-08-13,14150.0,106.86,26.09,111.45,17.3
2015-08-14,14150.0,106.85,26.07,111.54,16.95
2015-08-17,13750.0,107.13,26.02,111.39,16.95
2015-08-18,14100.0,107.11,25.92,111.36,16.91
2015-08-19,14650.0,108.55,26.08,111.09,16.34
2015-08-20,17125.0,110.44,26.15,110.49,16.07
2015-08-21,22925.0,111.13,26.39,110.16,15.82
2015-08-24,31400.0,110.53,26.7,108.9,14.82
2015-08-25,36525.0,109.16,26.48,109.2,14.97
2015-08-26,29850.0,107.67,26.17,110.28,15.2
2015-08-27,31050.0,107.73,26.06,110.91,16.52
2015-08-28,34500.0,108.7,25.96,110.97,17.46
2015-08-31,36950.0,108.82,25.91,111.03,18.61
2015-09-01,48475.0,109.2,26.14,109.98,17.16
2015-09-02,37675.0,108.62,26.01,110.58,17.56
2015-09-03,37325.0,107.84,26.01,110.55,17.71
2015-09-04,42450.0,107.49,25.98,110.43,17.25
2015-09-08,35075.0,107.52,26.06,111.15,17.24
2015-09-09,36675.0,106.13,26.05,111.03,16.67
2015-09-10,34750.0,106.38,26.05,111.24,16.99
2015-09-11,33150.0,106.16,26.18,111.12,16.78
2015-09-14,33225.0,106.22,26.2,111.12,16.23
2015-09-15,26650.0,105.9,26.05,111.03,16.41
2015-09-16,23450.0,107.31,26.1,110.67,17.06
2015-09-17,23200.0,108.41,26.33,110.79,16.85
2015-09-18,28925.0,109.21,26.31,110.25,16.35
2015-09-21,25169.75,108.53,26.11,110.28,16.7
2015-09-22,27775.0,107.79,26.06,109.56,16.78
2015-09-23,26425.0,108.22,26.05,109.35,16.38
2015-09-24,27950.0,110.49,26.12,108.72,16.53
2015-09-25,29375.0,109.81,26.0,108.33,16.59
2015-09-28,33400.0,108.42,26.07,106.77,16.22
2015-09-29,33625.0,107.98,26.12,106.68,16.49
2015-09-30,30450.0,106.86,26.04,106.98,16.64
2015-10-01,29875.0,106.73,26.17,106.11,16.41
2015-10-02,26800.0,108.99,26.23,105.99,16.49
2015-10-05,23700.0,108.77,26.22,107.16,16.91
2015-10-06,24175.0,109.86,26.32,107.49,17.79
2015-10-07,23050.0,109.7,26.32,108.51,17.61
2015-10-08,20900.0,109.14,26.4,108.9,18.08
2015-10-09,20950.0,110.87,26.52,108.93,17.82
2015-10-12,18575.0,111.31,26.54,108.81,17.09
2015-10-13,20150.0,111.86,26.54,108.6,16.73
2015-10-14,20950.0,113.81,26.82,108.6,16.79
2015-10-15,18150.0,113.29,26.78,108.66,16.92
2015-10-16,17725.0,112.49,26.71,109.14,17.02
2015-10-19,15375.0,112.02,26.6,109.53,16.45
2015-10-20,16250.0,112.73,26.54,109.53,16.42
2015-10-21,18450.0,111.73,26.56,109.38,16.16
2015-10-22,15300.0,111.69,26.39,109.35,16.3
2015-10-23,15450.0,111.5,26.21,109.8,16.21
2015-10-26,16300.0,111.43,26.22,109.68,16.01
2015-10-27,15675.0,111.68,26.27,109.38,15.82
2015-10-28,14800.0,110.78,26.08,109.62,16.55
2015-10-29,15200.0,109.72,26.03,109.38,16.43
2015-10-30,15575.0,109.3,26.15,109.41,16.7
2015-11-02,14125.0,108.59,26.14,109.2,16.47
2015-11-03,14700.0,106.98,26.1,109.26,17.06
2015-11-04,15550.0,105.97,25.85,109.11,16.46
2015-11-05,14900.0,105.64,25.81,108.84,16.24
2015-11-06,14300.0,104.1,25.46,108.36,16.09
2015-11-09,15700.0,104.4,25.42,107.88,15.94
2015-11-10,14850.0,104.18,25.45,107.55,15.96
2015-11-11,15425.0,103.83,25.53,107.31,15.54
2015-11-12,18175.0,103.85,25.58,106.5,15.02
2015-11-13,20575.0,103.56,25.59,106.26,14.79
2015-11-16,16550.0,103.71,25.5,106.65,14.89
2015-11-17,18175.0,102.34,25.49,106.5,14.53
2015-11-18,16000.0,102.43,25.47,106.71,14.69
2015-11-19,17025.0,103.56,25.69,106.08,14.66
2015-11-20,15900.0,103.09,25.59,105.81,14.76
2015-11-23,15050.0,102.26,25.52,105.72,14.93
2015-11-24,15250.0,102.94,25.61,105.78,15.29
2015-11-25,14800.0,102.46,25.61,105.78,15.35
2015-11-27,15125.0,101.25,25.54,106.11,14.97
2015-11-30,14900.0,101.92,25.52,106.08,14.81
2015-12-01,13800.0,102.28,25.66,105.99,14.72
2015-12-02,14725.0,100.69,25.56,105.66,14.17
2015-12-03,16675.0,101.76,25.72,105.45,14.56
2015-12-04,13850.0,104.02,25.7,105.24,14.32
2015-12-07,14425.0,102.67,25.65,104.52,13.5
2015-12-08,15225.0,102.84,25.75,103.32,13.34
2015-12-09,16425.0,102.64,25.94,103.56,13.3
2015-12-10,16825.0,102.55,25.87,103.14,13.09
2015-12-11,21825.0,103.11,25.89,101.07,12.54
2015-12-14,18550.0,101.79,25.89,100.26,12.49
2015-12-15,17100.0,101.52,25.73,101.43,12.65
2015-12-16,14825.0,102.75,25.71,102.3,12.27
2015-12-17,16050.0,100.5,25.61,101.16,12.08
2015-12-18,18625.0,102.04,25.78,100.77,12.04
2015-12-21,16825.0,103.15,25.87,100.68,11.9
2015-12-22,15275.0,102.61,25.88,101.55,11.89
2015-12-23,14625.0,102.31,25.85,102.06,12.42
2015-12-24,15075.0,103.05,25.92,102.18,12.38
2015-12-28,14650.0,102.27,25.96,101.58,12.02
2015-12-29,14400.0,102.2,25.86,101.7,12.4
2015-12-30,15100.0,101.42,25.83,101.73,11.98
2015-12-31,15650.0,101.46,25.82,101.73,12.24
2016-01-04,17625.0,102.89,25.81,101.22,12.26
2016-01-05,16525.0,103.18,25.71,101.43,11.92
2016-01-06,17500.0,104.67,25.77,101.34,11.29
2016-01-07,21325.0,106.15,25.93,100.8,11.07
2016-01-08,23500.0,105.68,25.89,100.44,10.95
2016-01-11,21950.0,104.74,25.76,100.29,10.26
2016-01-12,19875.0,104.21,25.7,100.53,10.13
2016-01-13,23850.0,104.72,25.76,99.18,9.85
2016-01-14,21975.0,103.02,25.73,99.42,10.03
2016-01-15,26450.0,104.08,25.78,98.19,9.47
2016-01-19,26450.0,103.98,25.72,97.71,9.36
2016-01-20,27725.0,105.37,25.75,96.87,9.15
2016-01-21,27550.0,105.49,25.78,97.32,9.49
2016-01-22,22900.0,105.0,25.7,98.88,10.39
2016-01-25,25175.0,106.08,25.73,98.04,9.77
2016-01-26,22775.0,107.29,25.81,98.88,10.23
2016-01-27,24625.0,107.69,25.84,98.64,10.61
2016-01-28,23000.0,106.54,25.95,99.09,11.19
2016-01-29,21125.0,106.95,25.89,99.63,11.34
2016-02-01,20600.0,108.05,25.98,98.46,10.74
2016-02-02,23300.0,108.09,26.01,97.65,10.32
2016-02-03,22750.0,109.25,26.49,98.01,11.16
2016-02-04,23200.0,110.57,26.68,97.77,10.9
2016-02-05,25075.0,112.32,26.57,96.9,10.8
2016-02-08,27425.0,113.83,26.68,95.73,10.44
2016-02-09,27950.0,113.58,26.87,95.28,9.78
2016-02-10,28350.0,114.46,27.01,95.13,9.79
2016-02-11,31850.0,119.06,27.04,94.47,9.9
2016-02-12,29175.0,118.36,26.93,96.0,10.37
2016-02-16,26550.0,114.77,26.72,96.15,10.2
2016-02-17,24425.0,115.48,26.71,96.87,10.85
2016-02-18,24325.0,118.29,26.75,96.96,10.7
2016-02-19,23075.0,117.58,26.88,97.14,10.53
2016-02-22,20450.0,115.49,26.79,98.1,10.97
2016-02-23,22525.0,117.22,26.78,97.98,10.59
2016-02-24,22225.0,117.61,26.82,98.13,10.91
2016-02-25,20775.0,117.92,26.82,98.56,11.02
2016-02-26,21275.0,117.11,26.6,99.21,11.05
2016-02-29,21925.0,118.64,26.75,100.29,11.37
2016-03-01,18400.0,117.77,26.71,101.55,11.43
2016-03-02,17575.0,118.68,26.7,100.83,11.54
2016-03-03,16525.0,120.73,26.87,101.1,11.54
2016-03-04,16900.0,120.54,26.92,101.43,12.08
2016-03-07,16950.0,121.14,26.95,101.52,12.64
2016-03-08,18125.0,120.58,27.08,100.83,12.24
2016-03-09,17675.0,119.58,26.93,101.07,12.69
2016-03-10,17125.0,121.5,27.04,101.79,12.45
2016-03-11,15625.0,119.41,27.04,102.99,12.54
2016-03-14,15150.0,117.87,26.99,102.75,12.29
2016-03-15,15450.0,117.96,26.92,102.09,12.03
2016-03-16,14500.0,120.59,27.28,102.81,12.49
2016-03-17,13700.0,120.13,27.61,103.5,12.82
2016-03-18,13625.0,119.8,27.63,103.62,12.84
2016-03-21,12450.0,118.96,27.52,103.59,12.92
2016-03-22,12025.0,119.31,27.5,103.44,12.99
2016-03-23,13100.0,116.61,27.38,102.9,12.56
2016-03-24,13025.0,116.33,27.32,102.45,12.52
2016-03-28,12700.0,116.6,27.37,101.94,12.48
2016-03-29,11500.0,118.76,27.69,102.24,12.23
2016-03-30,10875.0,117.1,27.76,102.6,12.21
2016-03-31,10975.0,117.64,27.87,102.75,12.26
2016-04-01,10475.0,116.93,27.89,102.42,11.79
2016-04-04,10900.0,116.15,27.9,102.03,11.5
2016-04-05,12000.0,117.66,27.91,101.61,11.58
2016-04-06,10650.0,116.94,27.96,102.36,12.15
2016-04-07,12400.0,118.61,27.98,101.76,12.09
2016-04-08,11775.0,118.43,28.09,102.42,12.75
2016-04-11,12150.0,120.03,28.17,102.6,13.08
2016-04-12,11375.0,120.05,28.08,103.26,13.57
2016-04-13,10400.0,118.77,27.95,103.98,13.42
2016-04-14,10325.0,117.11,27.87,103.89,13.39
2016-04-15,9975.0,117.92,28.01,103.68,13.14
2016-04-18,8750.0,117.74,28.04,104.4,13.13
2016-04-19,8875.0,119.58,28.13,104.97,13.42
2016-04-20,8950.0,118.97,27.99,105.18,13.85
2016-04-21,9300.0,119.42,27.9,104.82,13.67
2016-04-22,8850.0,117.89,27.69,105.12,13.8
2016-04-25,9025.0,118.23,27.63,104.76,13.6
2016-04-26,8675.0,118.7,27.7,105.18,13.96
2016-04-27,8075.0,119.04,27.73,105.75,14.38
2016-04-28,9050.0,121.29,28.05,105.72,14.48
2016-04-29,9575.0,123.65,28.3,105.9,14.5
2016-05-02,8500.0,123.24,28.38,105.45,14.04
2016-05-03,9175.0,122.96,28.34,104.64,13.78
2016-05-04,9425.0,122.21,28.28,104.1,13.69
2016-05-05,9375.0,122.07,28.17,104.13,13.79
2016-05-06,8625.0,123.18,28.15,104.1,13.86
2016-05-09,8200.0,120.65,28.03,104.04,13.33
2016-05-10,7425.0,120.98,27.98,104.85,13.96
2016-05-11,7875.0,122.12,28.07,104.82,14.51
2016-05-12,7650.0,121.16,27.99,104.82,14.67
2016-05-13,8175.0,121.71,27.9,104.4,14.63
2016-05-16,7475.0,121.8,27.85,105.03,15.01
2016-05-17,8075.0,122.22,27.86,104.94,15.15
2016-05-18,8025.0,120.1,27.56,104.85,14.84
2016-05-19,8075.0,119.87,27.55,104.61,14.92
2016-05-20,7550.0,119.71,27.56,104.97,14.96
2016-05-23,7575.0,119.37,27.6,105.03,14.83
2016-05-24,6900.0,117.3,27.49,105.66,14.97
2016-05-25,6650.0,116.98,27.63,105.9,15.25
2016-05-26,6475.0,116.58,27.71,105.69,15.13
2016-05-27,6100.0,115.62,27.6,105.81,15.14
2016-05-31,6050.0,116.06,27.54,105.69,15.04
2016-06-01,5975.0,115.94,27.64,105.18,15.13
2016-06-02,5700.0,115.67,27.75,105.21,15.08
2016-06-03,5600.0,118.88,28.23,105.39,15.07
2016-06-06,5450.0,118.92,28.24,105.9,15.29
2016-06-07,5475.0,118.82,28.34,106.41,15.6
2016-06-08,5550.0,120.58,28.45,106.89,15.92
2016-06-09,5750.0,121.25,28.36,106.41,15.74
2016-06-10,6750.0,121.74,28.29,105.84,15.27
2016-06-13,8698.0,122.64,28.24,105.24,15.12
2016-06-14,8250.0,122.77,28.17,104.88,15.07
2016-06-15,8125.0,123.68,28.29,104.76,14.7
2016-06-16,7725.0,122.38,28.39,104.73,14.24
2016-06-17,7750.0,123.95,28.46,104.85,14.92
2016-06-20,6675.0,123.21,28.51,105.6,15.26
2016-06-21,6750.0,120.84,28.43,106.2,15.27
2016-06-22,7200.0,120.9,28.57,106.11,15.86
2016-06-23,5875.0,120.11,28.58,106.89,15.39
2016-06-24,8275.0,126.01,28.27,105.3,14.65
2016-06-27,8100.0,126.68,28.32,103.47,14.4
2016-06-28,6400.0,125.32,28.48,104.88,14.73
2016-06-29,5700.0,125.84,28.55,106.17,15.13
2016-06-30,5450.0,126.47,28.57,107.07,14.88
2016-07-01,5125.0,128.41,28.74,106.59,15.14
2016-07-05,5175.0,129.47,28.65,106.08,14.39
2016-07-06,4875.0,130.23,28.71,106.59,14.56
2016-07-07,4725.0,129.74,28.68,106.77,13.9
2016-07-08,4150.0,130.52,28.82,108.21,13.93
2016-07-11,4125.0,129.29,28.68,108.42,13.74
2016-07-12,3975.0,127.15,28.51,108.69,14.46
2016-07-13,3800.0,128.32,28.59,108.42,13.89
2016-07-14,3775.0,127.33,28.61,108.51,14.09
2016-07-15,3800.0,126.84,28.39,108.33,14.23
2016-07-18,3600.0,127.04,28.36,108.78,14.05
2016-07-19,3550.0,127.21,28.24,108.45,13.95
2016-07-20,3375.0,125.39,28.15,108.72,14.04
2016-07-21,3575.0,127.3,28.2,108.69,13.74
2016-07-22,3400.0,126.35,28.17,109.08,13.62
2016-07-25,3325.0,125.47,28.15,108.48,13.32
2016-07-26,3325.0,126.0,28.25,108.18,13.32
2016-07-27,3125.0,128.03,28.4,108.48,12.99
2016-07-28,2975.0,127.66,28.44,107.97,12.77
2016-07-29,2775.0,128.98,28.9,108.18,12.83
2016-08-01,2725.0,129.22,28.77,106.95,12.46
2016-08-02,2900.0,130.27,28.89,106.83,12.39
2016-08-03,2775.0,129.65,28.75,107.19,12.84
2016-08-04,2625.0,129.87,28.77,107.91,13.07
2016-08-05,2425.0,127.55,28.67,108.12,13.13
2016-08-08,2312.25,127.44,28.63,108.72,13.36
2016-08-09,2229.0,127.96,28.76,109.08,13.3
2016-08-10,2333.0,128.56,28.98,109.05,12.96
2016-08-11,2310.0,127.67,28.87,109.23,13.57
2016-08-12,2268.0,127.4,28.92,109.35,13.95
2016-08-15,2192.0,127.84,28.93,109.65,14.33
2016-08-16,2346.0,128.47,29.11,109.32,14.54
2016-08-17,2223.0,128.5,29.1,109.5,14.72
2016-08-18,2149.0,129.11,29.33,109.92,15.01
2016-08-19,2166.0,127.97,29.14,109.62,15.0
2016-08-22,2183.0,127.78,29.14,109.38,14.56
2016-08-23,2173.0,127.76,29.17,109.86,14.73
2016-08-24,2264.0,126.34,29.07,109.53,14.46
2016-08-25,2269.0,126.23,29.04,109.59,14.66
2016-08-26,2282.0,126.05,28.8,109.62,14.65
2016-08-29,2188.0,126.3,28.8,110.19,14.51
2016-08-30,2156.0,125.03,28.65,110.16,14.34
2016-08-31,2177.0,124.78,28.57,109.62,13.79
2016-09-01,2157.0,125.29,28.64,109.32,13.43
2016-09-02,2004.0,126.57,28.54,109.92,13.68
2016-09-06,1895.0,128.71,28.95,110.04,13.9
2016-09-07,1847.0,128.27,29.0,109.83,14.07
2016-09-08,1862.0,127.59,28.86,109.59,14.61
2016-09-09,2457.0,126.75,28.6,108.45,14.1
2016-09-12,2117.0,126.59,28.68,108.81,14.14
2016-09-13,2693.0,125.75,28.46,108.03,13.81
2016-09-14,2680.0,126.18,28.57,107.94,13.5
2016-09-15,2473.0,125.37,28.55,108.51,13.64
2016-09-16,2409.0,125.06,28.41,108.42,13.5
2016-09-19,2283.0,125.32,28.47,108.54,13.48
2016-09-20,2251.0,125.44,28.55,108.48,13.48
2016-09-21,1899.0,127.27,28.77,109.35,13.82
2016-09-22,1778.0,127.57,28.88,109.77,13.99
2016-09-23,1805.0,127.65,28.84,109.53,13.56
2016-09-26,1999.0,127.55,28.95,109.05,13.85
2016-09-27,1794.0,126.62,29.01,109.47,13.48
2016-09-28,1749.0,126.22,28.98,110.19,14.2
2016-09-29,1964.0,126.07,28.94,109.68,14.41
2016-09-30,1815.0,125.64,28.84,110.16,14.5
2016-10-03,1798.0,125.32,28.79,109.62,14.75
2016-10-04,1789.0,120.97,28.53,109.5,14.75
2016-10-05,1760.0,120.78,28.43,109.8,15.05
2016-10-06,1733.0,119.66,28.31,109.8,15.28
2016-10-07,1735.0,119.74,28.29,110.04,15.03
