date,description,language,text,title
2019-06-19,Is the U.S. actually increasing the risk of financial panics like the one in 2008 through hyper-aggressive policies meant to stave off recession? Some economists and Wall Street pros worry the answer is yes.,en,"The last major financial panic in the U.S. destroyed storied many firms such as Lehman Brothers and caused the biggest recession in decades. Are aggressive policies meant to stave off recession actually likely to create more crises? 
Are the U.S. and other c… [+4081 chars]",Capitol Report: All-out efforts to avoid recession may have big hidden cost. Here's what one strategist sees as the potential price tag
2019-06-11,"The regulator, who sits on a powerful government panel that oversees major financial markets, likened global warming risks to the 2008 mortgage crisis.",en,"A White House spokesman, Judd Deere, did not respond to emailed questions about Mr. Behnams plans.
Mr. Behnam is not the first financial regulator to call attention to the market risks posed by climate change.
In 2010, the Securities and Exchange Commission… [+2315 chars]","Climate Change Poses Major Risks to Financial Markets, Regulator Warns"
2019-06-26,The 2008 financial crisis was responsible for the biggest bankruptcy of all time.,en,"We're halfway into 2019 and so far this year we've already seen a spate of bankruptcies, mostly from businesses in the retail industry, including Gymboree, Charlotte Russe and Payless ShoeSource. 
But in the history of bankruptcies, the shuttering of these b… [+1203 chars]","The 20 Biggest Bankruptcies In US History, Charted"
2019-07-02,"Ray Dalio is the founder and co-CIO of Bridgewater Associates, the world's largest hedge fund, with about $150 billion in assets under management. Dalio discussed key moments from his career in an episode of the Business Insider podcast ""This Is Success."" Fun…",en,"Dalio and his team were confident the financial crisis was on its way and planned accordingly. Bridgewater, then, performed relatively well when it did hit, and this brought an influx of attention and new clients. In 2010, Bridgewater had its best year ever. … [+1411 chars]",Ray Dalio started Bridgewater in his apartment and built it into the world's largest hedge fund. Here are 5 major lessons he's learned over the past 44 years.
2019-07-02,"A shrewd negotiator who has run the IMF but has little monetary policy experience, Christine Lagarde would face the challenge as the European Central Bank's new chief of having to revive the euro zone economy with a nearly depleted policy arsenal.",en,"FRANKFURT (Reuters) - A shrewd negotiator who has run the IMF but has little monetary policy experience, Christine Lagarde would face the challenge as the European Central Bank’s new chief of having to revive the euro zone economy with a nearly depleted polic… [+2991 chars]",Lagarde seen in pole position to replace ECB's Draghi
2019-07-05,President Donald Trump on Friday continued his public pressure campaign on the Federal Reserve to cut interest rates to juice the US economy. The irony is he already has the economy that he wants.,en,"(CNN)President Donald Trump on Friday continued his public pressure campaign on the Federal Reserve to cut interest rates to juice the US economy. The irony is he already has the economy that he wants.
New job numbers for the month of June came in stronger t… [+4268 chars]",Trump again calls on Fed to juice an already-strong economy
2019-06-18,"Perhaps the most optimistic indicator, currently suggesting a low-risk/high-reward stock market, is that most investors are behav­ing as though they expect troubled times, says Jim Paulsen of The Leuthold Group.",en,"Solid defensive positioning in the stock market could mean an easy flip to offense should positive factors like a trade-spat resolution or a Federal Reserve interest-rate cut come through, and possibly even if they dont.
Thats according to Jim Paulsen, chief… [+2945 chars]",In One Chart: How stock-market investors are playing stronger defense now than they did before the financial crisis
2019-07-03,"In all but a few of the most expensive cities in the USA, median rents on one- and two-bedroom apartments have fallen, sometimes quite sharply (for example, in NYC median asking rents on a one bedroom are down to $2940, a 12.8%/$430 decline from their peak in…",en,"In all but a few of the most expensive cities in the USA, median rents on one- and two-bedroom apartments have fallen, sometimes quite sharply (for example, in NYC median asking rents on a one bedroom are down to $2940, a 12.8%/$430 decline from their peak in… [+3037 chars]",The rent's less damned high: rents falling in most of America's most expensive cities
2019-06-14,"If you don’t know about the student loan debt crisis, chances are you above 50. You lived in a different world. Today people in their 20s…",en,"If you dont know about the student loan debt crisis, chances are you above 50. You lived in a different world. Today people in their 20s are more likely to be declining in their socio-economic status ever since the great recession of 2008. Its like a reverse … [+5747 chars]",Student Loan Debt Crisis Is Bankrupting Millennials
2019-06-24,A look at how top executives on Wall Street helped trigger a global financial crisis - and how it may happen again.,en,,The Men Who Stole the World: Inside the 2008 Financial Crisis
2019-07-10,"Tenía una vida de lujo: cruzaba el atlántico en su yate, volaba su propio avión y conducía dos Ferraris. Hasta que, en medio de la crisis financiera de 2008, lo atropellaron al cruzar una calle, quebrándole las dos piernas. Hoy su negocio es aún más grande qu…",es,"Derechos de autor de la imagenAndy ScottImage caption
 Scott consiguió rehacer su vida tras irse a la bancarrota.
Cuando Andy Scott fue atropellado por un taxi que le quebró las dos piernas y todos los dedos, ese era el menor de sus problemas.
""El accident… [+4918 chars]",Cómo el millonario Andy Scott reconstruyó su imperio empresarial después de un brutal accidente
2019-06-23,"Después de ser uno de los países más afectados por la crisis financiera de 2008, Islandia superó las dificultades económicas, entre otras cosas, gracias al turismo. Ahora, la caída de una aerolínea de bajo costo ha puesto en riesgo ocho años de crecimiento ec…",es,"Derechos de autor de la imagenGetty ImagesImage caption
 La quiebra de Wow Air está teniendo repercusiones en la economía islandesa.
La quiebra de la aerolínea islandesa de bajo costo Wow Air el pasado mes de marzo fue un duro golpe para Islandia. Tanto, qu… [+5641 chars]",Islandia: cómo la quiebra de la aerolínea de bajo costo Wow Air puso en riesgo la economía del país
2019-07-08,"""Cuando el pelotón asciende una montaña, que es cuando la economía va hacia abajo, si aceleramos la marcha, el pelotón se disgrega"". Con este símil ha ilustrado Octavio Granado, se",es,"""Cuando el pelotón asciende una montaña, que es cuando la economía va hacia abajo, si aceleramos la marcha, el pelotón se disgrega"". Con este símil ha ilustrado Octavio Granado, secretario de Estado de la Seguridad Social, su balance con respecto a la actuaci… [+2916 chars]","Granado: ""Los socialistas lo hicimos fatal en 2008. Dejamos que se destruyeran tres millones de empleos"""
2019-06-29,"El Banco de España está cada vez más encima de los establecimientos de crédito al consumo, ya que quiere vigilar con más periodicidad y de manera más exhaustiva a este tipo de empresas para evaluar su situación. <!-- BREAK 1 --> El Banco de España ha tomado e…",es,"El Banco de España está cada vez más encima de los establecimientos de crédito al consumo, ya que quiere vigilar con más periodicidad y de manera más exhaustiva a este tipo de empresas para evaluar su situación.
El Banco de España ha tomado esta decisión por… [+4147 chars]",Los créditos al consumo fuera de control: esto parece 2008
2019-07-04,"Durante una conferencia en Taiwán sobre la tecnología de blockchain, en la que se basan las criptomonedas, el profesor Nouriel Roubini expuso sus argumentos contra la que cree que es una de las amenazas del sistema económico.",es,"Derechos de autor de la imagenAlvaro FernándezImage caption
 Nouriel Roubini y Arthur Hayes debatieron sobre criptomonedas en el Asia Blockchain Summit celebrado el 2 y 3 de julio en Taiwán.
El economista Nouriel Roubini, apodado ""Doctor Catástrofe"" por sus… [+4956 chars]","Quién es el “Doctor Catástrofe”, el economista que predijo la gran recesión y ahora advierte sobre un nuevo peligro"
2019-06-28,"Este viernes 28 de junio se estrena en Netflix la tercera temporada de 'Paquita Salas', la serie de comedia de los Javis",es,"Pocas reuniones del G20 han resultado más complicadas desde la crisis financiera de 2008 que la que hoy y mañana tendrá lugar en Osaka, Japón, y el presidente de EE UU, Donald Trump, tiene mucho que ver en ello. Al enfrentamiento comercial de Washington con C… [+902 chars]",Trump tensa un G20 crucial con duros ataques a sus aliados
2019-06-25,"El relator de la ONU en Salud lamenta que, desde la crisis de 2008, las políticas solo hayan aumentado la división, la desigualdad y el aislamiento social, afectando a la mente a muchas personas.",es,"""La desigualdad es un obstáculo clave para la salud mental a nivel mundial"", advierte un informe presentado este lunes por el relator especial de la ONU en materia de Salud, Dainius Puras. El experto también destaca ""el impacto corrosivo de ver la vida como a… [+2770 chars]","La austeridad y las injusticias sociales son una fuente de trastornos mentales, advierte la ONU"
2019-06-26,"""Si estallara una crisis a gran escala en la región del Golfo [Pérsico], los precios del petróleo podrían subir a 150 y hasta 300 dólares por barril"", alerta un analista económico consultado por RT.",es,"Un conflicto bélico entre EE.UU. e Irán elevaría los precios del petróleo y podría causar la caída de acciones en todo el mundo, lo que no beneficiará a Washington, afirmó para RT el analista político y económico Shabbir Razvi.
Los precios del petróleo han s… [+1582 chars]",Así de catastróficas serán las consecuencias para la economía mundial si se produce un conflicto armado entre EE.UU. e Irán
2019-06-20,"Juan Luis Cebrián clausura el seminario de la fundación Étnor de Valencia, en presencia de Ximo Puig, con una reivindicación de la política",es,"La desigualdad y el declive de la clase media a raíz de la crisis económica del 2008 alientan el populismo y el autoritarismo que amenazan de manera global el futuro de la democracia. A estos fenómenos que tienen lugar en la primera revolución digital, cuyos … [+4256 chars]",La desigualdad y el declive de la clase media como principales peligros para la democracia
2019-06-15,"El trueque es una de las formas más antiguas de hacer negocios. Hoy en día, empresas y países siguen utilizando por diferentes motivos. Te contamos algunos de los casos más emblemáticos.",es,"Derechos de autor de la imagenGetty ImagesImage caption
 Varias empresas han tenido que recurrir al intercambio de mercancías para poder comerciar en países que están en crisis.
El trueque es una de las formas más antiguas de hacer negocios.
El intercambio… [+7996 chars]",Pepsi a cambio de barcos de guerra soviéticos: cómo el trueque ha dominado los intercambios comerciales a lo largo de la historia
2019-06-24,"Según ha publicado el Financial Times, el Deutsche Bank tiene previsto revisar sus operaciones comerciales mediante la creación de la figura del banco malo (el equivalente al FROB en España) para apartar decenas de miles de millones de euros de activos. <!-- …",es,"Según ha publicado el Financial Times, el Deutsche Bank tiene previsto revisar sus operaciones comerciales mediante la creación de la figura del banco malo (el equivalente al FROB en España) para apartar decenas de miles de millones de euros de activos.
El b… [+4176 chars]",Deutsche Bank y su problema de 50.000 millones de euros
2019-06-19,"LONDRES (apro).- La desaceleración económica en Gran Bretaña será la mayor registrada desde la crisis financiera de 2008, en gran medida como consecuencia de la salida británica de la Unión Europea (UE) y la incertidumbre que aún rodea al llamado Brexit. De a…",es,"LONDRES (apro).- La desaceleración económica en Gran Bretaña será la mayor registrada desde la crisis financiera de 2008, en gran medida como consecuencia de la salida británica de la Unión Europea (UE) y la incertidumbre que aún rodea al llamado Brexit.
De … [+6738 chars]",Gran Bretaña: Retroceso económico por Brexit
2019-06-15,"La economía estadounidense suma 121 meses de expansión desde la recesión de 2008, pero la recuperación es más lenta y más desigual",es,La expansión económica en Estados Unidos cumple su décimo aniversario y en julio superará el récord de longevidad de 120 meses seguidos de crecimiento. El anterior gran periodo de expansión se produjo tras la crisis de las puntocom en 2001 y se prolongó duran… [+6117 chars],EE UU encadena el mayor periodo de crecimiento de su historia
2019-07-05,"Fue una de las economías que primero entró en contracción en 2008. Emblema de la lucha judicial para reclamar responsabilidades a la banca e, incluso, a la jefatura de su Gobierno por la gestión de la crisis financiera de hace un decenio, Reikiavik dice estar…",es,"Estamos preparados para una profunda recesión, ya este año, aunque con efectos de mayor profundidad a comienzos de 2020, admitía hace unos días el gobernador del Banco de Islandia, Már Gudmundsson, en una conferencia en Dubrovnik (Croacia), que achacó la pérd… [+8502 chars]",El milagro económico islandés colapsa: suenan otra vez los tambores de recesión
2019-06-26,"La crisis financiera se ha traducido en una destrucción masiva de empleo en el sector bancario español. Desde 2008, los bancos que operan en el país han despedido, vía prejubilaciones, Expedientes de Regulación de Empleo (ERE) y salidas voluntarias, a un tota…",es,"Seguir
Moncho Veloso
@monchoveloso
Laura Montero Carretero
MadridActualizado:26/06/2019 10:44h
La crisis financiera se ha traducido en una destrucción masiva de empleo en el sector bancario español. Desde 2008, los bancos que operan en el país han desped… [+1971 chars]",La banca española suma 112.150 despidos desde el inicio de la crisis
2019-06-17,"Bunbury, La Polla Records, Mecano, Carolina Durante, Leño, Sr. Chinarro, Golpes Bajos, Ilegales... Visionarios que nos advirtieron de la que se nos venía encima",es,"¿Puede una canción predecir el futuro? Por qué no, si lo han hecho (y varias veces) Los Simpson. La música popular es testigo de su tiempo, una especie de periódico melódico que habla de sentimientos universales, pero también de lo que está pasando en el mund… [+19648 chars]",19 canciones del pop y rock español sorprendentemente proféticas
2019-07-02,"El economista Nouriel Roubini, conocido como 'Dr. Doom' (literalmente, 'Doctor Perdición'), alerta sobre el peligro para la economía mundial de la guerra comercial entre EE.UU. y China y las actuales tensiones en torno a Irán.",es,"El mundo podría dirigirse hacia una recesión el próximo año, impulsada por la guerra comercial entre EE.UU. y China y las actuales tensiones geopolíticas, indicó en entrevista con Bloomberg el economista Nouriel Roubini, conocido por sus acertadas prediccione… [+1487 chars]","El 'Doctor Perdición' Roubini augura una recesión global para el 2020 y un ""divorcio que se va a poner feo"""
2019-06-24,"Avisa de que el ""ritmo frenético"" de consumo puede provocar otra crisis si suben los tipos de interés.",es,"El director de Coyuntura y Economía Internacional de la Fundación de Cajas de Ahorro (Funcas), Raymond Torres, ha advertido de que la sostenibilidad de la expansión económica ""no está garantizada"", y que el ""ritmo frenético"" de consumo en los hogares puede pr… [+2752 chars]","Funcas alerta sobre la ""vulnerabilidad"" financiera de las familia si suben los tipos de interés"
2019-07-11,Forbes México. El avance global de las inversiones responsables Las finanzas responsables florecieron cuando eran más necesarias: poco después de la crisis financiera de 2008. Su empuje ha venido dado por inversores cada vez más conscientes. El avance global …,es,"Por Gema Sacristán*
Cuando en enero de 2004 Kofi Annan escribió a cincuenta CEO de las más grandes instituciones financieras del mundo, no podía imaginar el impacto global de su convocatoria. El entonces secretario general de la ONU les invitaba a unirse a l… [+5778 chars]",El avance global de las inversiones responsables
2019-06-11,"El vertiginoso crecimiento de Amazon en capitalización en Bolsa, volumen de negocio, base de clientes y presencia internacional se ha trasladado...",es,"El gigante del comercio electrónico ha roto con el liderazgo que sus rivales tecnológicos han mantenido durante 12 años consecutivos.
El vertiginoso crecimiento de Amazon en capitalización en Bolsa, volumen de negocio, base de clientes y presencia internacio… [+2714 chars]","Amazon, la marca más valiosa tras superar a Apple y Google"
