date,description,language,text,title
2019-06-29,"Democratic presidential candidate Sen. Elizabeth Warren has forged a political identity as a fighter who wants to level the playing field for the American middle class. Now she is seeking the Democratic Party's nomination for the presidency, centering her cam…",en,"Democratic presidential candidate Elizabeth Warren has forged a political identity as a fighter aiming to level the playing field for the American middle class. First a respected academic, Warren started rising to national prominence after the 2008 financial … [+1423 chars]","Photos capture how Elizabeth Warren became an academic, a US Senator, and a leading Democratic presidential contender"
2019-06-19,"Consumer debt has hit $14 trillion, a level some might find worrisome.",en,"Consumer debt is growing to worrisome levels.
Ben Mohr, senior research analyst of fixed income at investment consultant Marquette Associates, calculated that total U.S. consumer debt hit $14 trillion in the first quarter of 2019, surpassing the roughly $13 … [+2952 chars]",In One Chart: U.S. consumer debt is now breaching levels last reached during the 2008 financial crisis
2019-06-19,Is the U.S. actually increasing the risk of financial panics like the one in 2008 through hyper-aggressive policies meant to stave off recession? Some economists and Wall Street pros worry the answer is yes.,en,"The last major financial panic in the U.S. destroyed storied many firms such as Lehman Brothers and caused the biggest recession in decades. Are aggressive policies meant to stave off recession actually likely to create more crises? 
Are the U.S. and other c… [+4081 chars]",Capitol Report: All-out efforts to avoid recession may have big hidden cost. Here's what one strategist sees as the potential price tag
2019-06-26,The 2008 financial crisis was responsible for the biggest bankruptcy of all time.,en,"We're halfway into 2019 and so far this year we've already seen a spate of bankruptcies, mostly from businesses in the retail industry, including Gymboree, Charlotte Russe and Payless ShoeSource. 
But in the history of bankruptcies, the shuttering of these b… [+1203 chars]","The 20 Biggest Bankruptcies In US History, Charted"
2019-07-02,"Ray Dalio is the founder and co-CIO of Bridgewater Associates, the world's largest hedge fund, with about $150 billion in assets under management. Dalio discussed key moments from his career in an episode of the Business Insider podcast ""This Is Success."" Fun…",en,"Dalio and his team were confident the financial crisis was on its way and planned accordingly. Bridgewater, then, performed relatively well when it did hit, and this brought an influx of attention and new clients. In 2010, Bridgewater had its best year ever. … [+1411 chars]",Ray Dalio started Bridgewater in his apartment and built it into the world's largest hedge fund. Here are 5 major lessons he's learned over the past 44 years.
2019-07-12,"A stock-market index of small caps is at its weakest versus the S&P 500 since the financial crisis, suggesting a liquidity problem is brewing.",en,"A stock-market index of small caps is at its weakest versus the S&amp;P 500 since the financial crisis, suggesting the market has a liquidity problem.
Although the three main U.S. stock indexes the Dow Jones Industrial Average 
DJIA, +0.85%
S&amp;P 500 
S… [+3470 chars]",In One Chart: This stock-market canary has keeled over
2019-07-02,"A shrewd negotiator who has run the IMF but has little monetary policy experience, Christine Lagarde would face the challenge as the European Central Bank's new chief of having to revive the euro zone economy with a nearly depleted policy arsenal.",en,"FRANKFURT (Reuters) - A shrewd negotiator who has run the IMF but has little monetary policy experience, Christine Lagarde would face the challenge as the European Central Bank’s new chief of having to revive the euro zone economy with a nearly depleted polic… [+2991 chars]",Lagarde seen in pole position to replace ECB's Draghi
2019-07-05,President Donald Trump on Friday continued his public pressure campaign on the Federal Reserve to cut interest rates to juice the US economy. The irony is he already has the economy that he wants.,en,"(CNN)President Donald Trump on Friday continued his public pressure campaign on the Federal Reserve to cut interest rates to juice the US economy. The irony is he already has the economy that he wants.
New job numbers for the month of June came in stronger t… [+4268 chars]",Trump again calls on Fed to juice an already-strong economy
2019-06-18,"Perhaps the most optimistic indicator, currently suggesting a low-risk/high-reward stock market, is that most investors are behav­ing as though they expect troubled times, says Jim Paulsen of The Leuthold Group.",en,"Solid defensive positioning in the stock market could mean an easy flip to offense should positive factors like a trade-spat resolution or a Federal Reserve interest-rate cut come through, and possibly even if they dont.
Thats according to Jim Paulsen, chief… [+2945 chars]",In One Chart: How stock-market investors are playing stronger defense now than they did before the financial crisis
2019-07-03,"In all but a few of the most expensive cities in the USA, median rents on one- and two-bedroom apartments have fallen, sometimes quite sharply (for example, in NYC median asking rents on a one bedroom are down to $2940, a 12.8%/$430 decline from their peak in…",en,"In all but a few of the most expensive cities in the USA, median rents on one- and two-bedroom apartments have fallen, sometimes quite sharply (for example, in NYC median asking rents on a one bedroom are down to $2940, a 12.8%/$430 decline from their peak in… [+3037 chars]",The rent's less damned high: rents falling in most of America's most expensive cities
2019-07-10,"Le rapport World Wealth Report 2019, présenté par l’entreprise de conseil Capgemini, révèle une perte de 2000 milliards de dollars de pertes d’actifs boursiers en 2018, soit une baisse de 3% due à un ralentissement économique mondial significatif.",fr,"Le rapport World Wealth Report 2019, présenté par lentreprise de conseil Capgemini, révèle une perte de 2000 milliards de dollars de pertes dactifs boursiers en 2018, soit une baisse de 3% due à un ralentissement économique mondial significatif.Le monde a com… [+2590 chars]",Le nombre de millionnaires dans le monde a reculé pour la première fois depuis 2008
2019-07-10,Un rapport estime que les tests de résistance des banques aux grands chocs n’étaient pas assez sévères.,fr,Un rapport estime que les tests de résistance des banques aux grands chocs nétaient pas assez sévères.Les banques européennes seraient-elles moins solides que ne le laissaient transparaître les tests de résistance réalisés en 2018? Cette figure imposée aux pl… [+826 chars],La Cour des comptes européenne épingle l’Autorité bancaire
2019-07-08,"INFO LE FIGARO - L’indice mesuré tous les 2 mois par ViaVoice pour HEC Paris, Le Figaro et BFM Business rechute légèrement selon la vague réalisée à la fin mai et retrouve son niveau d’il y a un an, juste avant la crise des «gilets jaunes».",fr,"INFO LE FIGARO - Lindice mesuré tous les 2 mois par ViaVoice pour HEC Paris, Le Figaro et BFM Business rechute légèrement selon la vague réalisée à la fin mai et retrouve son niveau dil y a un an, juste avant la crise des «gilets jaunes».Lindice synthétique d… [+3609 chars]","Après un net regain depuis janvier, le moral des décideurs rechute en juillet"
2019-07-16,"Le nombre de voitures neuves vendues dans le monde a chuté de 6,6 %au premier semestre.",fr,"Cette fois, la tempête est bien là. Elle est globale. Et aucun industriel de lautomobile nest en mesure dy échapper. Les constructeurs français, qui viennent de publier leurs chiffres commerciaux semestriels, lundi 15 et mardi 16 juillet, ne font pas exceptio… [+4645 chars]","A part au Brésil et au Japon, le marché automobile est en récession"
2019-06-20,"DÉCRYPTAGE - Selon les derniers chiffres de l’Institut National de Statistique espagnol, le nombre de naissances dans le pays a diminué de plus de 40% en dix ans. Il enregistre le deuxième indice de fécondité le plus bas d’Europe.",fr,"DÉCRYPTAGE - Selon les derniers chiffres de lInstitut National de Statistique espagnol, le nombre de naissances dans le pays a diminué de plus de 40% en dix ans. Il enregistre le deuxième indice de fécondité le plus bas dEurope.Selon une étude de lINE (léquiv… [+5955 chars]",Espagne: pourquoi la fécondité est au plus bas depuis vingt ans
2019-07-09,"FIGAROVOX/ENTRETIEN - L’économiste David Cayla dresse le bilan mitigé d’Alexis Tsipras, qui a déçu selon lui les espoirs de la gauche. Il analyse les défis qui attendent le nouveau Premier ministre, Kyriakos Mitsotakis, pour tenter de redresser un pays noyé d…",fr,"FIGAROVOX/ENTRETIEN - Léconomiste David Cayla dresse le bilan mitigé dAlexis Tsipras, qui a déçu selon lui les espoirs de la gauche. Il analyse les défis qui attendent le nouveau Premier ministre, Kyriakos Mitsotakis, pour tenter de redresser un pays noyé dan… [+11200 chars]","De Tsipras à Mitsotakis, la Grèce est loin, très loin d’être tirée d’affaire"
2019-06-24,D'où vient qu'en France la consommation ait moins subi l'impact de la crise financière de 2007-2008 que celle des autres pays de la zone euro en général ? Voici donc la question à laquelle Alexandre Mirlicourtois s'efforce de répondre le 7 octobre 2014 : « Pr…,fr,D’où vient qu’en France la consommation ait moins subi l’impact de la crise financière de 2007-2008 que celle des autres pays de la zone euro en général ? Voici donc la question à laquelle Alexandre Mirlicourtois s’efforce de répondre le 7 octobre 2014 :« Pre… [+5668 chars],Quand le parti communiste faisait de Charles de Gaulle un souverain…
2019-07-08,"Suppression d'un cinquième de ses effectifs, création d'une «bad bank», limogeage de l'un de ses dirigeants : la banque allemande, en très mauvaise santé depuis des années, tente le tout pour le tout afin de sortir la tête de l'eau.",fr,"Comment sauver la Deutsche Bank ? Dimanche soir, à lissue dun conseil de surveillance, la banque allemande présentait un plan de restructuration drastique, le cinquième en sept ans. Les chiffres donnent le tournis : ce plan, destiné à réanimer ce géant malade… [+4533 chars]",Deutsche Bank : la «banque zombie» opère un retour aux sources et supprime 18 000 emplois
2019-07-12,"Berlin - Le PDG du géant allemand Deutsche Bank a dû s'expliquer vendredi dans la presse sur le comportement de cadres qui, en pleine vague de licenciements, se faisaient tailler des costumes de luxe dans leur bureau.",fr,"Lundi, alors que leurs collègues faisaient leurs cartons après l'annonce de la suppression de 18.000 emplois dans le monde, deux responsables de la banque à Londres ont fait venir un tailleur pour commander des costumes à 1.500 livres pièce (1.670 euros). L'h… [+967 chars]",Le PDG de Deutsche Bank sur la défensive sur des costumes de luxe
2019-07-04,Trois economistes ont decortique 200 cures de rigueur. Verdict : elles fonctionnent lorsqu'elles sont fondees sur des baisses de depenses publiques.,fr,"L'austérité. Cette politique de réduction drastique du déficit et de la dette est accusée de tous les maux. Pour l'opinion publique et de nombreux économistes, c'est à elle qu'on doit la persistance de la crise économique dans la zone euro après la crise fina… [+373 chars]","L'austérité, ça marche !"
2019-06-21,"LONDRES (Reuters) - John Varley, ancien directeur général de Barclays, a été blanchi vendredi d'accusations de fraude liées à une levée de fonds auprès du Qatar durant la crise financière de 2008, la justice britannique ayant retenu une absence de preuves à s…",fr,,Crise de 2008: Un ex-patron de Barclays lavé d'accusations de fraude
2019-07-07,"Par Philippe LégéLe 13 septembre 2015, Christine Lagarde déclarait : « J’étais ravie de voir un Macron 1, j’espère qu’il y aura un Macron 2, un Macron 3, etc. (…) la réforme est un continu permanent, il faut sans arrêt poursuivre ce mouvement (…) il faut alle…",fr,"Par Philippe Légé
Le 13 septembre 2015, Christine
Lagarde déclarait : « Jétais ravie de voir un Macron 1, jespère
quil y aura un Macron 2, un Macron 3, etc. () la réforme est un continu
permanent, il faut sans arrêt poursuivre ce mouvement () il faut alle… [+19547 chars]",Christine Lagarde à la BCE : faut-il vraiment s'en réjouir ?
2019-07-03,"FIGAROVOX/ENTRETIEN - Après d’âpres négociations, Christine Lagarde a été nommée ce mardi à la tête de la Banque centrale européenne. Pour l’économiste Nicolas Goetzmann, la nomination de Christine Lagarde est plutôt une bonne nouvelle car elle permet l’évict…",fr,"FIGAROVOX/ENTRETIEN - Après dâpres négociations, Christine Lagarde a été nommée ce mardi à la tête de la Banque centrale européenne. Pour léconomiste Nicolas Goetzmann, la nomination de Christine Lagarde est plutôt une bonne nouvelle car elle permet léviction… [+7361 chars]",Christine Lagarde à la BCE: pour le meilleur ou pour le pire?
2019-06-19,"Petite révolution au pays du gigantisme: de plus en plus d'Américains choisissent les ""Tiny Houses"", des mini-maisons de moins de 40 m2, pour leur faible coût, leur minimalisme et leur moindre impact sur l'environnement. Le mouvement, qui inclut des maisons s…",fr,,"""Tiny Houses"", des mini-maisons qui séduisent de plus en plus d'Américains"
2019-06-18,"Le groupe brésilien Odebrecht, dont le nom est associé depuis plusieurs années à un vaste système de corruption dans une bonne partie de l’Amérique latine, a demandé une procédure de sauvegarde pour éviter la faillite.",fr,"Le groupe brésilien Odebrecht, dont le nom est associé depuis plusieurs années à un vaste système de corruption dans une bonne partie de lAmérique latine, a demandé une procédure de sauvegarde pour éviter la faillite.Construction, pétrochimie, logistique, tra… [+2015 chars]",Le géant brésilien Odebrecht à genoux
2019-07-01,PARIS (Reuters) - Natixis a annoncé lundi son renvoi devant un juge correctionnel pour sa communication financière lors de la crise des subprimes. La banque avait été mise en examen en février 2017 pour la publication de deux communiqués sur les risques auxqu…,fr,"PARIS (Reuters) - Natixis a annoncé lundi son renvoi devant un juge correctionnel pour sa communication financière lors de la crise des subprimes.
La banque avait été mise en examen en février 2017 pour la publication de deux communiqués sur les risques auxq… [+1244 chars]","Natixis renvoyée devant la justice pour sa communication durant les ""subprimes"""
2019-07-16,FIGAROVOX/TRIBUNE - L’économiste colombien José Antonio Ocampo salue les initiatives de certains pays sur la taxation des GAFA et prône une entente internationale quant à la détermination des impôts et à l’allocation des bénéfices de ces multinationales.,fr,"FIGAROVOX/TRIBUNE - Léconomiste colombien José Antonio Ocampo salue les initiatives de certains pays sur la taxation des GAFA et prône une entente internationale quant à la détermination des impôts et à lallocation des bénéfices de ces multinationales.
José … [+5761 chars]",«Il faut un accord international pour taxer les GAFA!»
2019-07-16,La régulation mise en place après la crise de 1929 tout comme celle adoptée après la crise des subprime visent à limiter les excès de la finance. Mais à chaque époque sa méthode et ses objectifs.,fr,"Dans les années 1920 comme au début des années 2000, la croyance dans les vertus de lautorégulation de la finance a permis aux banques de se lancer dans des paris spéculatifs inconsidérés qui se sont terminés par deux des plus grosses bulles financières de lh… [+8049 chars]",Années 30 : la finance mise au pas
2019-07-16,"Malgré les nouveaux outils à sa disposition, la zone euro n'est pas à l'abri en cas de crise. En cause notamment, l'absence d'un budget commun de stabilisation.",fr,"Leuro a 20 ans, mais il est en petite forme. Après une période de reprise en 2016 et 2017, lactivité sessouffle de nouveau. A leuphorie des premières années de leuro, fastes en matière de croissance, a succédé une longue période dincertitude à la suite de la … [+7859 chars]","Zone euro : attention, fragile !"
2019-06-29,Washington a même levé sa menace d'imposer de nouvelles taxes à l'importation.,fr,"Une trêve similaire à celle du dernier G20. Ce samedi, Donald Trump et Xi Jinping ont convenu de relancer les négociations commerciales, en marge d'un G20 marqué par ailleurs par de pénibles négociations sur le climat. 
""Nous avons eu une très bonne rencontr… [+3384 chars]","Au G20, Trump et Xi conviennent d'une trêve commerciale a minima"
